stage,day in stage,trial,A1o,A1c,A2o,A2c,A3o,A3c,A4o,A4c,action,reward,reward_type
1,1,1,0,0,1,1,0,0,1,1,4.0,1.0,2
1,1,2,0,0,1,1,0,0,1,1,1.0,0.0,1
1,1,3,0,0,1,1,1,1,0,0,4.0,0.0,2
1,1,4,1,0,0,1,1,0,0,1,3.0,1.0,2
1,1,5,0,0,1,1,0,0,1,1,1.0,0.0,1
1,1,6,0,1,1,0,1,0,0,1,3.0,1.0,2
1,1,7,1,0,0,1,1,0,0,1,1.0,1.0,1
1,1,8,0,0,1,1,1,1,0,0,2.0,1.0,1
1,1,9,0,0,1,1,0,0,1,1,1.0,0.0,1
1,1,10,0,1,1,0,1,0,0,1,3.0,1.0,2
1,1,11,0,1,1,0,1,0,0,1,1.0,0.0,1
1,1,12,1,1,0,0,1,1,0,0,3.0,1.0,2
1,1,13,1,0,0,1,1,0,0,1,2.0,0.0,1
1,1,14,0,0,1,1,0,0,1,1,3.0,0.0,2
1,1,15,1,0,0,1,0,1,1,0,2.0,0.0,1
1,1,16,1,1,0,0,0,0,1,1,4.0,1.0,2
1,1,17,1,0,0,1,0,1,1,0,2.0,0.0,1
1,1,18,0,1,1,0,0,1,1,0,3.0,0.0,2
1,1,19,0,0,1,1,1,1,0,0,2.0,1.0,1
1,1,20,1,0,0,1,1,0,0,1,3.0,1.0,2
1,1,21,1,1,0,0,0,0,1,1,4.0,1.0,2
1,1,22,0,0,1,1,1,1,0,0,3.0,1.0,2
1,1,23,1,0,0,1,1,0,0,1,2.0,0.0,1
1,1,24,1,0,0,1,1,0,0,1,4.0,0.0,2
1,1,25,1,0,0,1,0,1,1,0,2.0,0.0,1
1,1,26,1,1,0,0,0,0,1,1,2.0,0.0,1
1,1,27,1,1,0,0,0,0,1,1,2.0,0.0,1
1,1,28,0,0,1,1,1,1,0,0,3.0,1.0,2
1,1,29,1,0,0,1,0,1,1,0,4.0,1.0,2
1,1,30,1,1,0,0,0,0,1,1,1.0,1.0,1
1,1,31,1,0,0,1,1,0,0,1,1.0,1.0,1
1,1,32,0,1,1,0,1,0,0,1,3.0,1.0,2
1,1,33,1,0,0,1,0,1,1,0,3.0,0.0,2
1,1,34,1,0,0,1,1,0,0,1,0.0,,0
1,1,35,0,0,1,1,0,0,1,1,1.0,0.0,1
1,1,36,1,1,0,0,1,1,0,0,1.0,1.0,1
1,1,37,1,0,0,1,0,1,1,0,3.0,0.0,2
1,1,38,1,1,0,0,0,0,1,1,1.0,1.0,1
1,1,39,1,1,0,0,0,0,1,1,0.0,,0
1,1,40,1,1,0,0,0,0,1,1,3.0,0.0,2
1,1,41,1,1,0,0,0,0,1,1,4.0,1.0,2
1,1,42,1,0,0,1,1,0,0,1,3.0,1.0,2
1,1,43,0,1,1,0,1,0,0,1,4.0,0.0,2
1,1,44,0,1,1,0,0,1,1,0,3.0,0.0,2
1,1,45,1,1,0,0,0,0,1,1,4.0,1.0,2
1,1,46,1,1,0,0,1,1,0,0,3.0,1.0,2
1,1,47,0,0,1,1,1,1,0,0,3.0,1.0,2
1,1,48,1,0,0,1,0,1,1,0,2.0,0.0,1
1,1,49,0,0,1,1,1,1,0,0,4.0,0.0,2
1,1,50,0,0,1,1,1,1,0,0,3.0,1.0,2
1,1,51,1,0,0,1,0,1,1,0,2.0,0.0,1
1,1,52,1,1,0,0,0,0,1,1,4.0,1.0,2
1,1,53,1,1,0,0,0,0,1,1,3.0,0.0,2
1,1,54,1,1,0,0,0,0,1,1,1.0,1.0,1
1,1,55,0,1,1,0,0,1,1,0,3.0,0.0,2
1,1,56,0,0,1,1,0,0,1,1,2.0,1.0,1
1,1,57,0,0,1,1,0,0,1,1,4.0,1.0,2
1,2,1,0,1,1,0,1,0,0,1,4.0,0.0,2
1,2,2,1,1,0,0,0,0,1,1,1.0,1.0,1
1,2,3,1,0,0,1,1,0,0,1,4.0,0.0,2
1,2,4,0,1,1,0,1,0,0,1,3.0,1.0,2
