stage,day in stage,trial,A1o,A1c,A2o,A2c,A3o,A3c,A4o,A4c,action,reward,reward_type,initial_motivation
1,1,1,1,1,0,0,1,1,0,0,2.0,0.0,1,water
1,1,2,0,0,1,1,0,0,1,1,0.0,,0,water
1,1,3,1,1,0,0,1,1,0,0,1.0,1.0,1,water
1,1,4,1,0,0,1,1,0,0,1,3.0,1.0,2,water
1,1,5,0,0,1,1,1,1,0,0,2.0,1.0,1,water
1,1,6,0,1,1,0,1,0,0,1,4.0,0.0,2,water
1,1,7,0,0,1,1,1,1,0,0,2.0,1.0,1,water
1,1,8,1,0,0,1,0,1,1,0,1.0,1.0,1,water
1,1,9,1,1,0,0,1,1,0,0,3.0,1.0,2,water
1,1,10,0,0,1,1,0,0,1,1,1.0,0.0,1,water
1,1,11,0,0,1,1,0,0,1,1,3.0,0.0,2,water
1,1,12,1,0,0,1,0,1,1,0,2.0,0.0,1,water
1,1,13,1,1,0,0,0,0,1,1,4.0,1.0,2,water
1,1,14,0,0,1,1,1,1,0,0,4.0,0.0,2,water
1,1,15,0,0,1,1,0,0,1,1,2.0,1.0,1,water
1,1,16,1,1,0,0,1,1,0,0,3.0,1.0,2,water
1,1,17,1,0,0,1,0,1,1,0,1.0,1.0,1,water
1,1,18,0,1,1,0,0,1,1,0,2.0,,1,water
1,1,19,0,1,1,0,0,1,1,0,4.0,1.0,2,water
1,1,20,0,0,1,1,1,1,0,0,3.0,1.0,2,water
1,1,21,0,1,1,0,1,0,0,1,3.0,1.0,2,water
1,1,22,0,1,1,0,0,1,1,0,4.0,1.0,2,water
1,1,23,1,1,0,0,0,0,1,1,0.0,,0,water
1,1,24,1,0,0,1,1,0,0,1,2.0,0.0,1,water
1,1,25,0,1,1,0,0,1,1,0,3.0,0.0,2,water
1,1,26,0,1,1,0,1,0,0,1,1.0,0.0,1,water
1,1,27,0,0,1,1,1,1,0,0,3.0,1.0,2,water
1,1,28,0,1,1,0,0,1,1,0,1.0,0.0,1,water
1,1,29,0,1,1,0,0,1,1,0,4.0,1.0,2,water
1,1,30,1,1,0,0,1,1,0,0,3.0,1.0,2,water
1,1,31,0,1,1,0,1,0,0,1,4.0,0.0,2,water
1,1,32,0,1,1,0,0,1,1,0,3.0,0.0,2,water
1,1,33,1,1,0,0,0,0,1,1,2.0,,1,water
1,1,34,0,0,1,1,0,0,1,1,1.0,0.0,1,water
1,1,35,0,1,1,0,1,0,0,1,4.0,0.0,2,water
1,1,36,0,0,1,1,1,1,0,0,3.0,1.0,2,water
1,1,37,1,1,0,0,0,0,1,1,3.0,0.0,2,water
1,1,38,1,0,0,1,1,0,0,1,2.0,0.0,1,water
1,1,39,1,1,0,0,0,0,1,1,4.0,1.0,2,water
1,1,40,0,0,1,1,1,1,0,0,3.0,1.0,2,water
1,2,1,1,0,0,1,1,0,0,1,2.0,0.0,1,water
1,2,2,1,0,0,1,0,1,1,0,4.0,1.0,2,water
1,2,3,0,0,1,1,0,0,1,1,2.0,1.0,1,water
1,2,4,1,1,0,0,0,0,1,1,4.0,1.0,2,water
1,2,5,1,1,0,0,0,0,1,1,1.0,1.0,1,water
1,2,6,1,1,0,0,0,0,1,1,1.0,1.0,1,water
1,2,7,1,0,0,1,0,1,1,0,4.0,1.0,2,water
1,2,8,1,1,0,0,0,0,1,1,1.0,1.0,1,water
1,2,9,0,0,1,1,1,1,0,0,3.0,1.0,2,water
1,2,10,1,1,0,0,0,0,1,1,4.0,1.0,2,water
1,2,11,1,0,0,1,0,1,1,0,4.0,1.0,2,water
1,2,12,1,1,0,0,1,1,0,0,1.0,1.0,1,water
1,2,13,1,1,0,0,1,1,0,0,3.0,1.0,2,water
1,2,14,0,0,1,1,1,1,0,0,4.0,0.0,2,water
1,2,15,0,1,1,0,0,1,1,0,1.0,0.0,1,water
1,2,16,1,0,0,1,1,0,0,1,3.0,1.0,2,water
1,2,17,1,0,0,1,0,1,1,0,4.0,1.0,2,water
1,2,18,1,1,0,0,0,0,1,1,1.0,1.0,1,water
1,2,19,1,0,0,1,0,1,1,0,3.0,0.0,2,water
1,2,20,1,1,0,0,0,0,1,1,4.0,1.0,2,water
1,2,21,0,0,1,1,1,1,0,0,3.0,1.0,2,water
1,2,22,1,0,0,1,0,1,1,0,1.0,1.0,1,water
1,2,23,0,1,1,0,0,1,1,0,4.0,1.0,2,water
1,2,24,1,0,0,1,1,0,0,1,1.0,1.0,1,water
1,2,25,0,1,1,0,1,0,0,1,3.0,1.0,2,water
1,2,26,0,0,1,1,0,0,1,1,4.0,1.0,2,water
1,2,27,1,1,0,0,1,1,0,0,3.0,1.0,2,water
1,2,28,0,0,1,1,1,1,0,0,2.0,1.0,1,water
1,2,29,1,0,0,1,0,1,1,0,1.0,1.0,1,water
1,2,30,1,0,0,1,0,1,1,0,3.0,0.0,2,water
1,2,31,1,1,0,0,0,0,1,1,2.0,0.0,1,water
1,2,32,1,1,0,0,0,0,1,1,4.0,1.0,2,water
1,2,33,1,1,0,0,0,0,1,1,1.0,1.0,1,water
1,2,34,0,0,1,1,1,1,0,0,3.0,1.0,2,water
1,2,35,1,1,0,0,0,0,1,1,1.0,1.0,1,water
1,2,36,1,1,0,0,1,1,0,0,3.0,1.0,2,water
1,2,37,0,0,1,1,1,1,0,0,0.0,,0,water
1,2,38,1,0,0,1,0,1,1,0,3.0,0.0,2,water
1,2,39,1,1,0,0,1,1,0,0,3.0,1.0,2,water
1,2,40,1,0,0,1,0,1,1,0,1.0,1.0,1,water
1,2,41,0,0,1,1,0,0,1,1,4.0,1.0,2,water
1,2,42,1,0,0,1,0,1,1,0,3.0,0.0,2,water
1,2,43,0,0,1,1,1,1,0,0,1.0,0.0,1,water
1,2,44,0,1,1,0,1,0,0,1,2.0,1.0,1,water
1,2,45,0,0,1,1,1,1,0,0,2.0,1.0,1,water
1,2,46,1,0,0,1,1,0,0,1,3.0,1.0,2,water
1,2,47,1,1,0,0,1,1,0,0,3.0,1.0,2,water
1,2,48,1,1,0,0,0,0,1,1,0.0,,0,water
1,2,49,1,0,0,1,0,1,1,0,0.0,,0,water
1,2,50,0,1,1,0,0,1,1,0,0.0,,0,water
1,2,51,0,1,1,0,0,1,1,0,4.0,1.0,2,water
1,2,52,0,0,1,1,1,1,0,0,2.0,1.0,1,water
1,2,53,1,0,0,1,0,1,1,0,4.0,1.0,2,water
1,2,54,0,1,1,0,0,1,1,0,1.0,0.0,1,water
1,3,1,1,1,0,0,0,0,1,1,1.0,1.0,1,water
1,3,2,1,0,0,1,0,1,1,0,2.0,0.0,1,water
1,3,3,0,1,1,0,1,0,0,1,4.0,0.0,2,water
1,3,4,1,0,0,1,0,1,1,0,2.0,0.0,1,water
1,3,5,1,1,0,0,0,0,1,1,3.0,0.0,2,water
1,3,6,1,0,0,1,0,1,1,0,4.0,1.0,2,water
1,3,7,0,1,1,0,1,0,0,1,1.0,0.0,1,water
1,3,8,1,1,0,0,1,1,0,0,3.0,1.0,2,water
1,3,9,0,1,1,0,1,0,0,1,4.0,0.0,2,water
1,3,10,1,1,0,0,0,0,1,1,4.0,1.0,2,water
1,3,11,1,0,0,1,0,1,1,0,2.0,0.0,1,water
1,3,12,0,1,1,0,0,1,1,0,1.0,0.0,1,water
1,3,13,1,0,0,1,1,0,0,1,3.0,1.0,2,water
1,3,14,0,1,1,0,0,1,1,0,1.0,0.0,1,water
1,3,15,0,0,1,1,1,1,0,0,4.0,0.0,2,water
1,3,16,0,0,1,1,1,1,0,0,3.0,1.0,2,water
1,3,17,0,0,1,1,0,0,1,1,1.0,0.0,1,water
1,3,18,1,1,0,0,0,0,1,1,4.0,1.0,2,water
1,3,19,1,1,0,0,1,1,0,0,1.0,1.0,1,water
1,3,20,0,0,1,1,1,1,0,0,3.0,1.0,2,water
1,3,21,0,1,1,0,1,0,0,1,1.0,0.0,1,water
1,3,22,0,1,1,0,0,1,1,0,3.0,0.0,2,water
1,3,23,0,0,1,1,0,0,1,1,2.0,1.0,1,water
1,3,24,0,1,1,0,0,1,1,0,4.0,1.0,2,water
1,3,25,0,0,1,1,0,0,1,1,3.0,0.0,2,water
1,3,26,0,1,1,0,1,0,0,1,1.0,0.0,1,water
1,3,27,0,1,1,0,1,0,0,1,3.0,1.0,2,water
1,3,28,0,1,1,0,1,0,0,1,4.0,0.0,2,water
1,3,29,0,1,1,0,0,1,1,0,3.0,0.0,2,water
1,3,30,1,1,0,0,1,1,0,0,4.0,0.0,2,water
1,3,31,1,0,0,1,1,0,0,1,1.0,1.0,1,water
1,3,32,0,0,1,1,1,1,0,0,3.0,1.0,2,water
1,3,33,1,0,0,1,0,1,1,0,1.0,1.0,1,water
1,3,34,0,1,1,0,1,0,0,1,3.0,1.0,2,water
1,3,35,1,0,0,1,1,0,0,1,1.0,1.0,1,water
1,3,36,1,0,0,1,1,0,0,1,4.0,0.0,2,water
1,3,37,1,1,0,0,1,1,0,0,3.0,1.0,2,water
