trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,3,,,,3,2,3
2,2,3,4,3.98,3.98,2,1,3
3,2,3,3,3.49,4.74,1,2,3
4,2,4,3,3.32,3.95,2,1,4
5,2,3,2,2.95,3.94,1,2,3
6,2,4,4,4.27,4.27,1,2,4
7,2,3,3,4.26,5.03,1,2,3
8,1,4,4,3.53,3.53,1,1,4
9,2,3,3,3.04,3.68,1,2,3
10,2,3,3,3,3.6,1,2,3
11,1,4,1,3.14,4.92,1,1,4
12,2,4,2,4.08,4.74,1,2,4
13,1,3,2,3.22,3.93,2,2,3
14,1,3,1,4.02,4.73,1,1,3
15,2,4,4,3.52,3.52,1,2,4
16,1,4,4,3.66,3.66,1,1,4
17,2,3,4,1.67,3.94,2,1,3
18,1,3,1,2.88,3.59,1,1,3
19,1,3,2,9.09,10,2,2,3
20,1,4,1,3.91,4.87,1,1,4
21,2,4,4,3.01,3.01,1,2,4
22,2,3,2,2.8,3.57,1,2,3
23,2,3,2,2.33,3,1,2,3
24,2,4,2,2.46,3.56,1,2,4
25,1,4,3,2.58,3.35,2,2,4
26,1,4,4,4.93,4.93,1,1,4
27,2,3,3,2.9,3.49,1,2,3
28,2,3,3,3.48,4.2,1,2,3
29,1,4,4,1.68,3.36,1,1,4
30,1,3,,2.08,,4,2,3
31,2,3,3,3.26,3.92,1,2,3
32,1,4,3,4.15,4.84,2,2,4
33,1,4,4,3.51,3.51,1,1,4
34,1,4,4,3.92,3.92,1,1,4
35,2,4,4,3.54,3.54,1,2,4
36,2,4,4,3.12,3.12,1,2,4
37,1,3,1,3.82,4.4,1,1,3
38,1,4,4,3.91,3.91,1,1,4
39,1,4,4,3.78,3.78,1,1,4
40,1,4,4,2.91,2.91,1,1,4
41,2,3,3,3.41,3.98,1,2,3
42,1,4,4,3.87,3.87,1,1,4
43,1,4,4,4.44,4.44,1,1,4
44,1,4,4,3.14,3.14,1,1,4
45,2,4,4,3.12,3.12,1,2,4
46,1,3,1,3.93,4.55,1,1,3
47,1,4,4,3.33,3.33,1,1,4
48,1,4,3,2.75,3.42,2,2,4
49,2,4,4,2.77,2.77,1,2,4
50,1,3,3,2.61,3.26,1,1,3
51,1,3,3,4.93,5.68,1,1,3
52,1,3,3,2.68,3.33,1,1,3
