trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,3,2,2.82,5.14,2,2,3
2,2,4,4,1.52,4.17,1,2,4
3,1,4,2,2.78,2.95,2,2,4
4,2,3,3,2.49,3.53,1,2,3
5,1,4,1,3.99,4.42,1,1,4
6,2,3,3,2.65,3.37,1,2,3
7,1,4,3,3.26,3.72,2,2,4
8,1,4,2,3.81,4.5,2,2,4
9,1,3,1,2.5,5.75,1,1,3
10,1,3,3,2.83,3.44,1,1,3
11,2,3,2,2.85,3.49,1,2,3
12,1,4,3,4.1,4.48,2,2,4
13,1,3,1,3.3,3.99,1,1,3
14,1,3,1,3.78,3.91,1,1,3
15,1,3,3,3.94,4.21,1,1,3
16,2,4,2,3.54,3.65,1,2,4
17,2,4,2,2.95,3.84,1,2,4
18,1,3,1,3.43,3.75,1,1,3
19,2,3,3,4.33,4.52,1,2,3
20,2,4,2,3.94,4.69,1,2,4
21,1,4,1,3.33,3.71,1,1,4
22,2,3,3,3.51,5.94,1,2,3
23,2,4,3,3.39,4.06,2,1,4
24,2,4,2,3.72,4.92,1,2,4
25,1,3,3,3.29,3.89,1,1,3
26,1,3,3,2.84,3.62,1,1,3
27,1,4,1,2.81,3.84,1,1,4
28,1,4,1,3.02,3.37,1,1,4
29,2,3,2,3.01,4.29,1,2,3
30,1,3,1,6.21,6.55,1,1,3
31,1,3,1,3.04,3.65,1,1,3
32,1,3,1,6.38,7.26,1,1,3
33,2,3,3,4.33,5.03,1,2,3
34,2,4,2,2.45,3.48,1,2,4
35,1,3,1,2.66,3.84,1,1,3
36,1,4,1,2.58,3.31,1,1,4
37,2,3,2,5.6,6.37,1,2,3
38,2,4,2,2.77,3.93,1,2,4
39,2,3,2,4.08,4.36,1,2,3
40,2,3,2,3.32,3.43,1,2,3
41,1,4,1,3.32,4.61,1,1,4
42,2,3,2,2.95,3.18,1,2,3
43,1,3,1,3.95,4.01,1,1,3
44,1,3,2,3.55,4.35,2,2,3
45,2,3,2,3.92,4.73,1,2,3
46,1,3,1,3.3,4.32,1,1,3
47,1,3,1,2.02,3.22,1,1,3
48,2,3,2,4.43,5.67,1,2,3
49,1,4,1,3.24,4.31,1,1,4
50,1,4,1,2.56,3.5,1,1,4
51,1,3,1,2.11,2.79,1,1,3
52,1,4,4,1.54,3.64,1,1,4
53,2,4,2,3.07,3.8,1,2,4
54,2,3,2,2.73,3.89,1,2,3
55,2,4,2,2.17,3.33,1,2,4
56,2,3,2,2.92,4.05,1,2,3
57,2,3,2,3.13,4.23,1,2,3
58,2,4,2,2.67,3.43,1,2,4
59,2,3,2,2.9,3.6,1,2,3
60,1,4,1,2.93,4.01,1,1,4
61,1,3,1,3.16,4.26,1,1,3
62,1,3,2,3.25,4.63,2,2,3
63,1,3,1,3.8,4.94,1,1,3
64,2,4,2,3.62,4.8,1,2,4
65,2,3,2,2.44,3.65,1,2,3
66,1,3,1,3.27,4.5,1,1,3
67,1,4,1,2.37,3.11,1,1,4
68,2,3,2,2.63,3.65,1,2,3
69,1,3,1,4.66,5.76,1,1,3
70,2,3,2,3.28,4.26,1,2,3
71,2,4,2,2.71,3.39,1,2,4
72,1,3,1,3.55,4.7,1,1,3
73,2,4,2,2.28,3.35,1,2,4
74,1,3,1,2.9,3.87,1,1,3
75,2,4,2,2.65,3.39,1,2,4
76,2,4,1,3.25,4.31,2,1,4
77,2,3,2,2.56,3.16,1,2,3
78,2,4,2,2.47,3.2,1,2,4
79,1,3,2,4.54,5.59,2,2,3
80,2,3,1,3.83,4.37,2,1,3
81,1,4,1,2.2,2.92,1,1,4
82,1,4,1,2.12,3.2,1,1,4
83,1,4,1,3.47,4.32,1,1,4
84,2,3,2,2.81,4,1,2,3
85,2,3,2,2.62,3.81,1,2,3
86,2,3,2,2.58,3.69,1,2,3
87,2,3,2,3.04,4.07,1,2,3
88,2,4,2,3.09,3.81,1,2,4
89,2,3,2,2.65,3.35,1,2,3
90,2,4,2,2.92,4.03,1,2,4
91,2,4,2,2.69,3.87,1,2,4
92,1,3,1,3.24,4.21,1,1,3
93,1,3,,1.51,,4,2,3
94,1,3,1,3.23,4.31,1,1,3
95,2,3,2,4.35,5.48,1,2,3
96,2,3,2,2.76,3.77,1,2,3
97,2,3,2,2.9,3.92,1,2,3
98,1,3,1,3.52,4.32,1,1,3
99,1,4,1,2.72,3.5,1,1,4
100,1,3,1,2.31,2.99,1,1,3
101,1,4,1,3.1,4.18,1,1,4
