trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,2,3,4,3.81,3.81,2,1,3
2,1,3,3,2.83,3.43,1,1,3
3,2,4,4,3.86,3.86,1,2,4
4,1,3,3,6.43,7.11,1,1,3
5,1,4,2,3.2,4.21,2,2,4
6,1,3,1,2.65,3.49,1,1,3
7,1,4,4,8.85,8.85,1,1,4
8,1,4,,,,3,2,4
9,2,4,1,2.59,3.34,2,1,4
10,2,4,2,4.49,5.46,1,2,4
11,1,3,3,2.24,2.98,1,1,3
12,2,4,4,3.63,3.63,1,2,4
13,1,3,3,4.02,4.69,1,1,3
14,1,3,3,3.43,4.03,1,1,3
15,1,3,3,2.91,3.59,1,1,3
16,1,4,1,2.49,3.11,1,1,4
17,2,3,3,2.02,2.66,1,2,3
18,1,3,3,3.44,4.23,1,1,3
19,1,3,3,2.95,3.62,1,1,3
20,2,4,2,3.11,3.79,1,2,4
21,1,4,4,2.96,2.96,1,1,4
22,1,4,4,2.84,2.84,1,1,4
23,1,3,3,3.63,4.27,1,1,3
24,2,3,3,3.47,4.19,1,2,3
25,1,3,1,2.04,2.77,1,1,3
26,2,3,2,2.37,3.46,1,2,3
27,2,3,2,3.01,4.22,1,2,3
28,2,4,4,4.21,4.21,1,2,4
29,2,4,4,3.73,3.73,1,2,4
30,1,4,4,3.3,3.3,1,1,4
31,1,4,4,1.91,3.49,1,1,4
32,1,3,1,3,4.14,1,1,3
33,1,3,1,2.62,3.63,1,1,3
34,1,4,4,2.91,2.91,1,1,4
35,2,3,1,3.55,4.28,2,1,3
36,2,4,2,2.23,2.88,1,2,4
37,2,3,2,2.74,3.46,1,2,3
38,1,3,1,3.09,3.66,1,1,3
39,1,4,1,3.39,3.95,1,1,4
40,2,4,4,3.14,3.2,1,2,4
41,2,3,2,2.83,4.14,1,2,3
42,2,4,2,2.91,3.51,1,2,4
43,1,3,1,2.33,3.34,1,1,3
44,2,3,2,2.65,3.32,1,2,3
45,1,4,4,4.09,4.09,1,1,4
46,2,4,2,3.52,4.13,1,2,4
47,1,3,3,3.63,4.75,1,1,3
48,2,4,2,3.31,4.51,1,2,4
49,1,3,1,2.71,3.71,1,1,3
50,1,3,1,2.89,3.57,1,1,3
51,1,3,1,3.02,3.69,1,1,3
52,2,3,2,2.84,3.9,1,2,3
53,2,4,4,4.05,4.05,1,2,4
54,2,4,2,2.07,3.12,1,2,4
55,2,3,2,2.89,3.59,1,2,3
56,1,3,1,3.18,4.16,1,1,3
57,1,3,3,2.54,3.16,1,1,3
58,2,3,2,3.29,4.3,1,2,3
59,1,4,4,3.66,3.66,1,1,4
60,2,4,4,2.34,3.59,1,2,4
61,1,3,3,3.28,3.6,1,1,3
62,1,4,4,1.67,5.64,1,1,4
63,1,3,1,2.66,3.76,1,1,3
64,1,4,4,2.99,2.99,1,1,4
65,1,3,1,2.08,2.81,1,1,3
66,2,3,2,3.27,4.31,1,2,3
67,2,4,2,2.16,2.82,1,2,4
68,2,3,2,3.38,4.1,1,2,3
69,2,4,2,2.55,3.55,1,2,4
70,1,4,4,2.83,2.83,1,1,4
71,2,4,4,3.05,3.05,1,2,4
72,1,4,1,3.54,4.15,1,1,4
73,2,3,2,3.28,4.16,1,2,3
74,1,4,4,4.06,4.06,1,1,4
75,2,4,3,3.23,3.9,2,1,4
76,1,3,2,2.82,4.03,2,2,3
77,2,3,3,3.06,3.72,1,2,3
78,2,3,3,2.34,3.07,1,2,3
79,1,3,3,3.43,3.49,1,1,3
80,1,3,3,2.89,3.6,1,1,3
81,1,3,3,3.55,4.34,1,1,3
82,2,4,2,3.16,4.37,1,2,4
83,1,3,3,3.17,3.85,1,1,3
84,1,4,2,3.01,3.82,2,2,4
85,2,3,2,3.11,4.22,1,2,3
86,1,3,1,2.61,3.5,1,1,3
87,2,4,4,2.91,2.91,1,2,4
88,2,3,3,3.22,3.97,1,2,3
89,2,4,4,2.56,3.51,1,2,4
90,2,3,1,8.56,9.76,2,1,3
91,2,4,4,3.9,3.9,1,2,4
92,1,4,4,3.33,3.33,1,1,4
93,2,3,2,3.35,4.45,1,2,3
94,2,3,2,3.13,4.19,1,2,3
95,1,3,1,2.35,2.97,1,1,3
96,1,3,1,3.48,4.05,1,1,3
97,1,4,1,3,3.68,1,1,4
98,1,4,4,3.18,3.18,1,1,4
99,2,3,2,2.62,3.46,1,2,3
100,1,3,1,2.76,3.71,1,1,3
101,1,4,1,3.3,3.95,1,1,4
