trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,3,4,3.29,3.29,1,1,3
2,1,3,1,4.1,4.76,1,1,3
3,2,3,4,5.67,5.72,1,2,3
4,2,4,4,1.52,3.18,1,2,4
5,2,4,4,3.34,3.34,1,2,4
6,1,4,2,3.1,4.11,2,2,4
7,1,4,4,4.55,4.55,1,1,4
8,2,4,4,4.9,4.9,1,2,4
9,2,4,4,3.77,3.77,1,2,4
10,2,4,4,3.15,3.15,1,2,4
11,2,4,4,4.29,4.29,1,2,4
12,2,4,4,3.54,3.54,1,2,4
13,2,4,3,2.74,3.89,2,1,4
14,2,3,3,2.79,3.58,2,1,3
15,2,4,4,2.55,2.55,1,2,4
16,2,4,4,4.18,4.18,1,2,4
17,2,3,3,3.31,4.06,2,1,3
18,2,4,2,3.43,4.07,2,1,4
19,1,3,4,3.36,3.36,1,1,3
20,1,3,1,2.27,2.91,1,1,3
21,2,4,2,2.13,3.05,2,1,4
22,2,4,4,4.28,4.28,1,2,4
23,1,4,4,2.92,2.92,1,1,4
24,2,3,3,2.18,2.93,2,1,3
25,1,4,1,2.12,2.66,1,1,4
26,2,3,3,2.85,3.51,2,1,3
27,2,3,3,4.53,5.22,2,1,3
28,2,3,4,3.49,3.49,1,2,3
29,2,4,4,3.35,3.35,1,2,4
30,2,3,3,3.91,4.87,2,1,3
31,1,3,1,2.23,2.87,1,1,3
32,1,3,3,3.24,3.98,2,2,3
33,1,4,4,4.32,4.32,1,1,4
34,2,4,2,2.68,3.41,2,1,4
35,1,3,3,2.88,3.58,2,2,3
36,2,4,4,3.35,3.35,1,2,4
37,1,3,3,3.58,4.29,2,2,3
38,2,4,1,2.77,3.72,1,2,4
39,1,4,4,4.18,4.18,1,1,4
40,1,4,1,3.26,4.15,1,1,4
41,1,4,1,3.23,3.69,1,1,4
42,1,3,1,2.59,3.21,1,1,3
43,1,4,4,4.28,4.28,1,1,4
44,1,4,4,2.98,2.98,1,1,4
45,1,3,1,2.59,3.45,1,1,3
46,1,3,1,3.91,4.49,1,1,3
47,2,4,4,4.03,4.03,1,2,4
48,1,4,4,3.48,3.48,1,1,4
49,2,4,4,5.99,5.99,1,2,4
50,1,3,3,2.73,3.45,2,2,3
51,2,3,1,3.78,4.17,1,2,3
52,2,3,3,2.55,3.26,2,1,3
53,2,4,2,2.08,2.78,2,1,4
54,2,4,4,3,3,1,2,4
55,2,3,3,2.82,3.54,2,1,3
56,1,4,4,4.74,4.74,1,1,4
57,2,4,1,3.24,4.32,1,2,4
58,1,3,3,2.86,3.89,2,2,3
59,1,3,1,2.17,2.79,1,1,3
60,2,3,3,7.04,7.68,2,1,3
61,1,3,4,3.38,3.38,1,1,3
62,2,4,4,3.83,3.83,1,2,4
63,1,3,3,2.17,2.91,2,2,3
64,1,4,1,2.51,3.2,1,1,4
65,2,3,3,3.14,3.92,2,1,3
66,2,3,3,2.92,3.61,2,1,3
67,1,3,1,2.61,3.25,1,1,3
68,1,3,1,2.93,3.52,1,1,3
69,2,3,1,3.09,3.82,1,2,3
70,2,3,1,2.04,2.66,1,2,3
71,2,3,4,3.12,3.12,1,2,3
72,1,4,,,,3,2,4
73,1,3,1,6.39,7.3,1,1,3
74,1,3,1,3.47,4.16,1,1,3
75,2,3,1,2.63,3.33,1,2,3
76,2,4,4,3.7,3.7,1,2,4
77,2,4,2,2.65,3.44,2,1,4
78,1,4,1,2.85,3.5,1,1,4
79,2,3,1,2.22,2.98,1,2,3
80,2,3,3,4.49,5.56,2,1,3
81,1,3,1,2.87,3.5,1,1,3
82,2,4,4,3.83,3.83,1,2,4
83,2,4,4,3.46,3.46,1,2,4
84,1,4,1,2.46,3.42,1,1,4
85,1,3,3,2.25,3.12,2,2,3
86,1,3,3,3.28,4.14,2,2,3
87,2,3,1,3.51,4.11,1,2,3
88,2,3,3,3.19,4.13,2,1,3
89,1,3,4,2.66,2.66,1,1,3
90,1,4,4,2.77,2.77,1,1,4
91,1,3,4,3.67,3.67,1,1,3
92,2,4,4,3.69,3.69,1,2,4
93,1,4,1,2.32,3.31,1,1,4
94,2,4,4,3.69,3.69,1,2,4
95,2,3,1,3.29,4.44,1,2,3
96,2,4,4,3.27,3.27,1,2,4
97,1,3,1,7.61,8.46,1,1,3
98,1,4,1,2.67,3.27,1,1,4
99,2,3,,,,3,1,3
100,1,3,1,4.24,5.06,1,1,3
101,2,3,1,4.19,4.9,1,2,3
102,1,4,1,9.13,9.89,1,1,4
