trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,2,4,4,3.78,9.97,1,2,4
2,1,3,4,2.19,3.32,2,2,3
3,2,3,3,2.26,8.57,1,2,3
4,1,4,1,2.15,3.28,1,1,4
5,1,3,2,2.55,3.94,2,2,3
6,2,3,3,3.48,4.72,1,2,3
7,2,4,1,3.74,5.05,2,1,4
8,1,4,4,2.33,3.51,1,1,4
9,2,3,1,2.12,3.28,2,1,3
10,2,3,3,3.47,4.52,1,2,3
11,1,4,4,2.92,4,1,1,4
12,1,4,4,3,3.94,1,1,4
13,2,4,2,3.35,4.82,1,2,4
14,1,4,4,2.83,3.92,1,1,4
15,1,3,4,2.91,3.88,2,2,3
16,1,3,1,2.72,3.86,1,1,3
17,2,4,4,2.51,3.34,1,2,4
18,2,3,3,2.42,4.3,1,2,3
19,2,3,4,3.4,5.89,2,1,3
20,2,4,3,2.31,3.26,2,1,4
21,2,3,,7.11,,4,1,3
22,1,3,3,3.04,3.91,1,1,3
23,1,3,4,2.44,3.35,2,2,3
24,1,3,2,2.94,4.22,2,2,3
25,2,3,4,2.11,3.98,2,1,3
26,2,3,3,2.34,4.13,1,2,3
27,2,4,4,4.15,4.92,1,2,4
28,1,4,4,2.56,3.53,1,1,4
29,2,3,3,2.68,3.65,1,2,3
30,2,4,4,2.09,7.08,1,2,4
31,1,4,4,2.47,7.61,1,1,4
32,1,4,3,3.27,4.14,2,2,4
33,1,3,3,2.1,8.29,1,1,3
34,2,3,1,2.84,4.05,2,1,3
35,1,4,4,2.17,3.06,1,1,4
36,1,3,3,3.63,4.47,1,1,3
37,2,4,4,2.82,11.5,1,2,4
38,2,4,4,2.38,7.96,1,2,4
39,2,3,,4.23,,4,1,3
40,1,3,3,2.68,8.21,1,1,3
41,1,4,4,2.24,8.19,1,1,4
42,1,3,1,4.3,5.45,1,1,3
43,2,3,2,2.89,4.02,1,2,3
44,1,4,4,2.68,7.5,1,1,4
45,1,4,4,6.27,7.17,1,1,4
46,2,4,4,3.87,8.2,1,2,4
47,2,4,2,9.04,10.17,1,2,4
48,1,3,2,5.08,5.92,2,2,3
49,2,4,4,2.01,2.87,1,2,4
50,2,4,4,4.77,8.42,1,2,4
51,2,4,4,2.84,6.81,1,2,4
52,2,3,1,4.36,5.39,2,1,3
53,2,3,2,3.52,4.31,1,2,3
54,2,3,1,2.58,3.51,2,1,3
55,2,3,3,5.07,6,1,2,3
56,1,3,1,2.31,5.38,1,1,3
57,2,3,1,4.41,5.38,2,1,3
58,2,4,4,3.35,7.41,1,2,4
59,2,4,2,3.3,4.2,1,2,4
60,2,4,4,2.64,3.48,1,2,4
61,1,4,4,3.31,7.75,1,1,4
62,2,3,3,2.3,6.44,1,2,3
63,1,3,1,3.62,4.68,1,1,3
64,2,4,4,2.32,3.14,1,2,4
65,1,3,3,4.05,4.79,1,1,3
66,2,4,2,4.54,5.3,1,2,4
67,1,4,4,2.64,6.64,1,1,4
68,2,4,4,2.91,9.96,1,2,4
69,1,3,3,2.79,8.17,1,1,3
70,2,3,1,2.25,3.27,2,1,3
71,2,4,4,2.76,3.63,1,2,4
72,1,4,2,2.72,3.62,2,2,4
73,2,3,3,2.69,6.65,1,2,3
74,2,4,4,2.46,7.54,1,2,4
75,2,3,3,3.94,4.68,1,2,3
76,2,4,4,2.18,5.81,1,2,4
77,2,4,3,2.91,6.35,2,1,4
78,2,4,4,2.96,3.73,1,2,4
79,2,4,4,2.24,6.27,1,2,4
80,2,4,4,2.92,6.74,1,2,4
81,1,4,1,2.75,3.7,1,1,4
82,2,3,2,4.99,6,1,2,3
