trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,2,3,4,2.67,4.16,2,1,3
2,2,3,,3.46,,4,1,3
3,2,4,4,2.16,3.17,1,2,4
4,2,4,4,2.56,6.68,1,2,4
5,2,3,1,2.89,4.32,2,1,3
6,2,3,1,2.57,3.59,2,1,3
7,1,4,4,3.28,4.16,1,1,4
8,2,3,2,2.96,4.17,1,2,3
9,1,3,,2.21,,4,2,3
10,2,3,1,2.19,3.16,2,1,3
11,2,4,4,2.31,8.11,1,2,4
12,1,4,4,3.38,6.94,1,1,4
13,2,3,3,3.16,7.52,1,2,3
14,1,4,1,2.99,4.23,1,1,4
15,1,4,4,3.64,7.69,1,1,4
16,1,4,1,3.11,4.02,1,1,4
17,2,3,3,2.35,3.52,1,2,3
18,1,4,4,3.08,6.32,1,1,4
19,2,3,3,4.62,5.55,1,2,3
20,1,3,1,2.45,3.61,1,1,3
21,1,4,2,2.53,3.63,2,2,4
22,1,4,3,2.56,3.69,2,2,4
23,1,3,2,2.94,4.04,2,2,3
24,1,4,4,2.75,4.36,1,1,4
25,2,4,1,2.69,3.88,2,1,4
26,2,3,1,2.84,3.84,2,1,3
27,2,4,2,3.14,4.16,1,2,4
28,2,4,4,2.61,8.77,1,2,4
29,2,3,,4.18,,4,1,3
30,2,4,1,3.35,4.41,2,1,4
