trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,3,2,2.48,4.1,2,2,3
2,2,4,4,2,3.29,1,2,4
3,1,3,3,2.73,4.18,1,1,3
4,2,4,4,5.27,6.79,1,2,4
5,1,3,2,2.88,4.4,2,2,3
6,2,4,1,3.26,5.16,2,1,4
7,1,3,3,2.21,3.37,1,1,3
8,1,3,1,3.21,3.95,1,1,3
9,2,4,1,3.04,3.89,2,1,4
10,2,3,2,6.74,8.05,1,2,3
11,2,3,2,3.75,4.96,1,2,3
12,2,4,4,5.56,9.58,1,2,4
13,2,4,2,2.71,3.88,1,2,4
14,1,4,1,3.59,4.91,1,1,4
15,1,3,1,3.02,3.89,1,1,3
16,1,3,2,2.89,4.04,2,2,3
17,2,3,2,3.56,4.68,1,2,3
18,2,3,,3.94,,4,1,3
19,2,3,2,3.56,4.38,1,2,3
20,1,3,1,5.59,6.75,1,1,3
21,2,3,2,2.66,3.85,1,2,3
22,2,4,4,3.01,6.86,1,2,4
23,1,3,1,2.08,2.93,1,1,3
24,1,3,1,2.34,3.25,1,1,3
25,2,3,2,3.04,4.07,1,2,3
26,1,3,1,2.12,3.25,1,1,3
27,1,4,1,3.17,4.37,1,1,4
28,2,4,2,2.79,3.96,1,2,4
29,2,3,3,4,5.57,1,2,3
30,1,3,2,2.13,3.23,2,2,3
31,1,3,3,3.05,4.73,1,1,3
32,2,3,2,3.13,4.16,1,2,3
33,2,4,,3.61,,4,1,4
34,1,4,1,3.03,4.06,1,1,4
35,2,3,2,2.45,3.79,1,2,3
36,2,3,1,4.04,5.14,2,1,3
37,1,4,2,3.44,4.39,2,2,4
38,1,3,1,2.25,3.03,1,1,3
39,2,3,1,7.6,8.69,2,1,3
40,1,3,,4.06,,4,2,3
41,2,3,2,2.97,3.91,1,2,3
42,1,3,3,2.2,4.1,1,1,3
43,2,4,2,2.96,3.91,1,2,4
44,1,4,1,2.67,3.66,1,1,4
45,1,3,2,2.88,3.91,2,2,3
46,1,4,,7.33,,4,2,4
47,2,4,2,2.81,3.67,1,2,4
48,2,4,2,3.38,4.45,1,2,4
49,2,3,3,3.29,4.36,1,2,3
50,2,3,2,2.39,3.44,1,2,3
51,2,3,2,2.22,3.25,1,2,3
52,1,3,1,4.15,5.01,1,1,3
53,2,4,2,4.04,5.09,1,2,4
54,1,4,2,7.8,9.31,2,2,4
55,1,3,1,5.16,6.13,1,1,3
56,1,4,4,5.85,6.91,1,1,4
57,1,4,2,8.25,9.33,2,2,4
58,2,3,1,9.67,10.73,2,1,3
59,1,3,2,5.26,6.32,2,2,3
60,2,3,,,,3,1,3
61,2,4,,3.8,,4,1,4
62,2,4,2,3.89,4.87,1,2,4
63,2,4,2,3.15,4.13,1,2,4
64,1,3,1,3.4,4.28,1,1,3
65,2,4,2,3.8,4.69,1,2,4
66,2,3,1,5.3,6.3,2,1,3
67,1,4,1,5.39,6.21,1,1,4
68,1,3,2,4.43,5.3,2,2,3
69,2,3,3,7.15,8.25,1,2,3
70,2,3,,,,3,1,3
71,2,4,4,5.44,6.74,1,2,4
72,1,4,,,,3,2,4
73,1,3,,,,3,2,3
74,2,3,,,,3,1,3
75,2,4,,,,3,1,4
76,2,4,,4.52,,4,1,4
77,2,4,2,5.65,6.79,1,2,4
78,2,4,2,2.99,3.94,1,2,4
79,2,3,1,3.77,4.64,2,1,3
80,1,3,1,3.61,4.5,1,1,3
81,2,4,2,7.81,8.72,1,2,4
82,1,4,,,,3,2,4
83,2,4,,,,3,1,4
84,1,4,1,4.06,4.9,1,1,4
85,2,3,2,4.58,5.55,1,2,3
86,2,3,1,7.6,8.41,2,1,3
87,1,3,3,5.44,6.6,1,1,3
88,2,4,2,2.99,3.95,1,2,4
89,1,4,1,6.19,7.05,1,1,4
