trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,2,3,3,2.82,4.31,2,1,3
2,2,3,2,3.11,4.31,2,1,3
3,2,3,3,4.02,4.92,2,1,3
4,1,3,3,2.19,3.22,2,2,3
5,2,4,4,3.18,7.07,1,2,4
6,2,3,4,3.54,4.58,1,2,3
7,1,4,4,2.04,6.78,1,1,4
8,1,3,1,3.48,5.15,1,1,3
9,2,4,2,3.3,4.85,2,1,4
10,1,4,1,2.81,3.85,1,1,4
11,2,3,2,3.04,4.01,2,1,3
12,1,3,4,3.16,4.47,1,1,3
13,2,3,3,2.49,3.61,2,1,3
14,1,4,4,3,3.94,1,1,4
15,1,3,3,5.17,6.01,2,2,3
16,1,3,4,3.3,4.75,1,1,3
17,2,3,3,2.22,2.82,2,1,3
18,2,4,2,3.05,4.02,2,1,4
19,2,3,3,2.08,3.14,2,1,3
20,1,4,4,2.32,3.46,1,1,4
21,1,3,4,2.13,3.13,1,1,3
22,1,3,,,,3,2,3
23,2,3,,2.36,,4,1,3
24,1,3,1,2.2,3.08,1,1,3
25,1,4,4,3.1,4.29,1,1,4
26,2,4,4,2.57,3.56,1,2,4
27,1,4,4,2.43,6.69,1,1,4
28,1,3,1,2.42,3.58,1,1,3
29,1,3,1,2.59,3.65,1,1,3
30,2,4,4,2.49,3.44,1,2,4
31,2,4,4,2.14,2.97,1,2,4
32,1,3,1,2.72,3.76,1,1,3
33,1,3,1,4.56,5.85,1,1,3
34,2,3,2,2.15,3.1,2,1,3
35,1,3,1,3.46,4.38,1,1,3
36,2,4,2,3.26,4.42,2,1,4
37,1,4,4,2.29,3.24,1,1,4
38,2,3,4,4.09,8.23,1,2,3
39,1,3,1,6.19,7.2,1,1,3
40,1,3,1,2.71,3.63,1,1,3
41,1,3,1,2.12,3.16,1,1,3
42,1,4,4,2.6,6.25,1,1,4
43,1,3,4,3.24,6.62,1,1,3
44,2,4,4,2.83,3.68,1,2,4
45,2,3,1,4.69,5.81,1,2,3
46,1,4,4,4.25,5.03,1,1,4
47,1,4,1,2.59,3.59,1,1,4
48,2,3,1,5.79,6.68,1,2,3
49,2,3,2,3.22,4.33,2,1,3
50,1,4,4,2.59,3.47,1,1,4
51,2,4,4,2.52,5.84,1,2,4
52,1,3,3,4.23,5.44,2,2,3
53,1,4,4,3.23,4.03,1,1,4
54,1,3,1,3.16,3.94,1,1,3
55,2,3,,2.76,,4,1,3
56,1,3,,,,3,2,3
57,2,3,,,,3,1,3
58,1,3,,,,3,2,3
59,1,4,1,3.32,4.22,1,1,4
60,1,3,1,2.46,3.38,1,1,3
61,1,4,4,3.17,6.4,1,1,4
62,2,3,,,,3,1,3
63,2,4,4,1.96,5.57,1,2,4
64,1,4,4,3.29,4.03,1,1,4
65,1,3,1,4.46,5.3,1,1,3
66,2,3,1,6.17,7.2,1,2,3
67,2,3,1,3.75,4.6,1,2,3
68,1,3,,5.02,,4,2,3
69,2,4,4,6.3,7.18,1,2,4
70,2,4,4,2.56,5.88,1,2,4
71,1,3,1,4.32,5.2,1,1,3
72,2,4,4,3.11,5.91,1,2,4
73,2,4,,,,3,1,4
74,2,4,2,3.2,4.27,2,1,4
75,1,3,1,5.61,6.54,1,1,3
76,1,4,4,3.3,7.03,1,1,4
77,2,4,4,2.7,6.01,1,2,4
78,2,3,1,4.5,5.31,1,2,3
79,2,4,4,2.54,5.47,1,2,4
80,1,4,4,8.69,11.69,1,1,4
81,2,3,,,,3,1,3
82,1,4,,,,3,2,4
83,2,3,1,6.21,7.21,1,2,3
84,1,4,4,5.06,5.92,1,1,4
85,2,4,,,,3,1,4
86,1,3,4,2.45,5.77,1,1,3
87,2,3,2,2.34,3.46,2,1,3
