trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,4,4,2.42,3.34,1,1,4
2,1,3,2,2.64,5.46,2,2,3
3,1,4,4,2.98,3.76,1,1,4
4,1,4,2,3.42,4.41,2,2,4
5,1,4,,9.92,,4,2,4
6,2,3,1,4.14,5.75,2,1,3
7,2,4,1,5.87,6.8,2,1,4
8,1,4,,,,3,2,4
9,2,4,,,,3,1,4
10,2,3,,,,3,1,3
11,1,4,,,,3,2,4
12,1,4,3,3.13,4.83,2,2,4
13,2,3,,2.69,,4,1,3
14,2,4,1,3.54,4.34,2,1,4
15,2,3,,2.96,,4,1,3
16,2,4,,,,3,1,4
17,2,4,2,3.59,4.48,1,2,4
18,2,4,1,6.61,7.53,2,1,4
19,2,3,3,3.15,4.62,1,2,3
20,2,4,4,3.14,4.07,1,2,4
21,2,4,2,2.91,4.15,1,2,4
22,1,4,3,3.57,4.46,2,2,4
23,2,4,4,5.16,5.95,1,2,4
24,2,4,1,2.16,2.94,2,1,4
25,2,3,1,6.47,8.03,2,1,3
26,1,4,,,,3,2,4
27,2,4,2,3.73,4.65,1,2,4
28,2,3,,2.74,,4,1,3
29,1,4,,,,3,2,4
30,2,4,,,,3,1,4
31,1,3,,,,3,2,3
32,1,3,,2.37,,4,2,3
33,2,4,,2.34,,4,1,4
34,1,4,,3.79,,4,2,4
35,1,3,1,3.78,5.27,1,1,3
36,1,4,3,4.19,5.7,2,2,4
37,2,4,,6.96,,4,1,4
38,2,3,2,3.39,4.56,1,2,3
39,2,4,,4.52,,4,1,4
40,2,3,,,,3,1,3
41,2,4,1,3.3,4.37,2,1,4
42,2,4,2,2.8,8.49,1,2,4
43,1,3,2,6.52,8.28,2,2,3
44,1,3,1,3.74,4.59,1,1,3
45,2,3,2,4.33,5.97,1,2,3
46,1,3,2,3.83,5.15,2,2,3
47,2,4,1,3.26,4.08,2,1,4
48,2,3,2,2.69,3.75,1,2,3
49,1,3,1,4.14,5.2,1,1,3
50,1,4,2,3.56,4.57,2,2,4
51,2,4,2,4.95,5.86,1,2,4
52,2,3,2,2.72,3.56,1,2,3
53,1,3,1,2.3,3.14,1,1,3
54,1,3,2,4.33,5.2,2,2,3
55,1,4,2,2.87,3.73,2,2,4
56,2,3,1,2.93,3.69,2,1,3
57,1,3,1,2.67,3.72,1,1,3
58,2,4,4,2.89,4.01,1,2,4
59,1,3,1,2.51,3.21,1,1,3
60,2,3,2,2.99,3.82,1,2,3
61,1,3,2,3.52,4.31,2,2,3
62,1,3,1,2.07,3.12,1,1,3
63,1,4,2,4.93,5.93,2,2,4
64,1,4,1,2.68,3.75,1,1,4
65,1,4,2,2.83,3.97,2,2,4
66,1,4,2,2.25,3.41,2,2,4
67,2,4,4,2.35,3.53,1,2,4
68,1,4,,2.6,,4,2,4
69,2,4,2,2.85,3.9,1,2,4
70,2,4,1,2.99,3.93,2,1,4
71,1,4,2,2.73,3.56,2,2,4
72,1,3,1,3.26,4.31,1,1,3
73,1,3,1,4.16,5.24,1,1,3
74,1,3,2,2.58,3.35,2,2,3
75,2,3,2,3.79,4.9,1,2,3
76,2,3,1,4.53,5.52,2,1,3
77,2,4,2,2.99,4.21,1,2,4
78,2,3,2,3.23,4.24,1,2,3
79,2,3,1,2.52,3.51,2,1,3
80,1,4,,8.44,,4,2,4
81,2,3,1,3.06,3.81,2,1,3
82,2,4,2,3.43,4.41,1,2,4
83,1,4,2,2.65,3.43,2,2,4
84,1,3,2,3.36,4.28,2,2,3
85,2,4,1,3.78,4.84,2,1,4
86,1,3,2,3.02,3.94,2,2,3
87,2,3,1,3.16,3.92,2,1,3
88,1,4,2,3.65,4.48,2,2,4
89,1,3,1,3.41,4.31,1,1,3
90,2,4,2,3.37,4.34,1,2,4
91,1,4,1,4.56,5.46,1,1,4
92,2,4,2,3.1,4.06,1,2,4
93,2,4,2,3.74,4.51,1,2,4
94,2,3,2,2.82,3.74,1,2,3
95,1,3,1,3.18,4.07,1,1,3
96,1,3,,2.69,,4,2,3
97,1,4,2,2.24,2.94,2,2,4
98,1,3,1,2.38,3.51,1,1,3
99,1,4,2,1.55,3.39,2,2,4
100,1,3,1,5.53,6.41,1,1,3
101,1,3,1,3.34,4.25,1,1,3
102,1,3,2,3.23,4,2,2,3
103,1,4,1,3.31,4.2,1,1,4
104,2,3,2,3.59,4.57,1,2,3
105,2,4,1,3,3.93,2,1,4
106,1,4,2,2.31,4.39,2,2,4
107,2,4,1,6.18,6.84,2,1,4
108,2,3,2,1.88,3.55,1,2,3
109,2,4,1,3.51,4.36,2,1,4
110,1,3,3,2.93,6.13,1,1,3
111,2,4,2,4.71,5.7,1,2,4
112,1,4,4,3.86,4.69,1,1,4
113,1,4,1,2.52,3.45,1,1,4
114,1,3,2,3.14,4.06,2,2,3
115,1,3,2,2.34,3.22,2,2,3
116,1,4,1,3.66,4.54,1,1,4
117,2,3,1,2.59,3.52,2,1,3
118,1,3,2,4.05,4.94,2,2,3
119,1,3,1,2.55,3.29,1,1,3
120,1,4,1,3.97,4.69,1,1,4
121,2,4,1,2.64,3.36,2,1,4
122,2,4,2,4.54,5.28,1,2,4
