trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,4,1,7.18,8.7,1,1,4
2,2,3,4,3.69,5.05,1,2,3
3,2,4,,,,3,1,4
4,2,4,4,3.51,4.38,1,2,4
5,2,4,4,2.26,2.86,1,2,4
6,1,3,1,4.58,5.9,1,1,3
7,1,4,2,2.43,3.45,2,2,4
8,1,4,4,3.64,5.16,1,1,4
9,2,3,2,7.11,7.73,2,1,3
10,1,4,,,,3,2,4
11,1,3,1,4.05,4.69,1,1,3
12,2,4,3,7.97,9.26,2,1,4
13,2,3,1,7.84,8.54,1,2,3
14,1,3,3,2.53,3.42,2,2,3
15,2,3,4,3.7,4.46,1,2,3
16,2,3,3,2.84,3.82,2,1,3
17,2,3,2,2.88,3.58,2,1,3
18,1,3,3,4.17,5.46,2,2,3
19,1,4,1,3.32,4.07,1,1,4
20,2,4,4,3.59,4.82,1,2,4
21,2,3,3,2.05,2.96,2,1,3
22,2,3,3,3.05,3.64,2,1,3
23,1,4,4,2.9,3.83,1,1,4
24,2,4,2,2.74,3.56,2,1,4
25,1,4,4,8.04,8.91,1,1,4
26,2,3,2,8.34,9.19,2,1,3
27,2,3,4,3.16,4.47,1,2,3
28,2,4,1,3.09,3.73,1,2,4
29,1,3,2,2.92,3.88,2,2,3
30,1,4,4,2.64,3.88,1,1,4
31,2,3,3,9.16,9.86,2,1,3
32,2,3,3,4.78,5.4,2,1,3
33,2,3,3,2.42,3,2,1,3
34,1,3,4,2.63,3.3,1,1,3
35,1,4,1,3.18,4.31,1,1,4
36,2,3,2,10.36,11.06,2,1,3
37,2,3,4,6.26,7.23,1,2,3
38,2,4,3,2.34,3.3,2,1,4
39,1,4,4,3.96,4.6,1,1,4
40,1,3,1,2.64,3.68,1,1,3
41,1,4,4,2.09,2.69,1,1,4
42,1,4,4,3.1,3.75,1,1,4
43,1,4,1,2.3,2.94,1,1,4
44,1,4,4,2.78,4.06,1,1,4
45,2,3,4,2.52,3.13,1,2,3
46,2,4,4,9.31,9.95,1,2,4
47,2,3,4,2.62,3.78,1,2,3
48,1,4,4,4.28,5.11,1,1,4
49,2,4,4,2.22,2.98,1,2,4
50,1,4,4,6.03,6.74,1,1,4
51,1,3,1,3.09,4.21,1,1,3
52,2,4,4,2.71,3.57,1,2,4
53,1,4,4,2.88,3.51,1,1,4
54,1,4,2,4.2,4.93,2,2,4
55,2,3,,7.71,,4,1,3
56,1,3,,,,3,2,3
57,1,4,,,,3,2,4
58,1,4,,,,3,2,4
59,2,4,,1.57,,4,1,4
60,1,4,1,3.28,4.16,1,1,4
61,1,4,4,2.58,3.78,1,1,4
62,1,3,1,7.58,8.33,1,1,3
63,1,4,4,3.24,3.89,1,1,4
64,2,3,3,3.13,3.89,2,1,3
65,1,4,,,,3,2,4
66,1,4,,3.23,,4,2,4
67,1,4,4,9.19,10.03,1,1,4
68,1,4,,,,3,2,4
69,1,3,1,2.36,3.29,1,1,3
70,1,4,4,9.56,10.63,1,1,4
71,1,3,1,6.4,7.25,1,1,3
72,2,4,,,,3,1,4
73,2,3,,,,3,1,3
74,2,4,1,5.53,6.49,1,2,4
75,2,3,,,,3,1,3
76,1,4,,,,3,2,4
77,2,4,,,,3,1,4
78,1,4,1,3.27,4.37,1,1,4
79,1,4,4,3.12,7.14,1,1,4
80,2,3,,,,3,1,3
81,2,3,1,2.99,3.6,1,2,3
82,2,4,4,4.98,5.64,1,2,4
83,1,3,1,9.01,9.82,1,1,3
84,1,4,1,3,3.61,1,1,4
85,1,3,1,5.06,6.82,1,1,3
86,2,3,1,7.15,7.85,1,2,3
87,1,3,4,4.52,5.84,1,1,3
88,1,3,1,3.6,4.6,1,1,3
89,2,4,1,2.29,3.19,1,2,4
90,1,3,1,3.85,4.48,1,1,3
91,2,3,1,4.04,5.1,1,2,3
92,1,3,1,5.16,6.2,1,1,3
93,2,4,1,4.14,4.8,1,2,4
94,1,3,1,3.79,4.67,1,1,3
95,1,4,1,3.32,4.31,1,1,4
96,1,4,1,2.71,3.67,1,1,4
97,2,4,4,8.05,8.65,1,2,4
98,2,3,1,3.93,4.88,1,2,3
99,1,4,4,2.96,3.87,1,1,4
100,2,3,1,3.5,4.34,1,2,3
101,1,4,1,8.43,9.1,1,1,4
102,1,4,4,3.36,4.26,1,1,4
103,2,4,1,6.9,7.56,1,2,4
104,2,3,1,5.65,6.5,1,2,3
105,1,4,1,8.35,9.28,1,1,4
106,1,3,4,6.17,7.21,1,1,3
107,2,4,4,2.76,3.6,1,2,4
108,2,4,2,6.31,7.37,2,1,4
109,1,3,,,,3,2,3
110,1,3,1,3.6,4.4,1,1,3
111,2,3,,,,3,1,3
112,2,3,,,,3,1,3
113,2,3,3,4.02,5.23,2,1,3
114,1,4,1,3.75,4.66,1,1,4
115,1,3,1,2.7,3.31,1,1,3
116,1,3,1,4.19,4.83,1,1,3
117,1,4,1,2.35,3.39,1,1,4
118,2,4,1,6.04,6.7,1,2,4
119,1,4,1,2.58,3.29,1,1,4
