trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,3,4,5.2,6.29,2,2,3
2,2,4,2,2.81,4.8,1,2,4
3,1,4,3,3.42,4.49,2,2,4
4,2,3,1,4.03,5.17,2,1,3
5,1,3,2,3.57,4.49,2,2,3
6,2,4,4,2.36,3.22,1,2,4
7,1,4,4,2.46,3.14,1,1,4
8,1,3,3,4.05,4.86,1,1,3
9,1,4,4,4.01,4.85,1,1,4
10,2,4,3,2.13,2.73,2,1,4
11,2,3,3,2.94,3.65,1,2,3
12,1,3,3,2.37,3.14,1,1,3
13,1,3,3,2.48,3.19,1,1,3
14,2,3,1,2.92,3.78,2,1,3
15,2,4,4,4.29,5.09,1,2,4
16,1,3,2,3.76,4.55,2,2,3
17,2,3,1,2.25,3.41,2,1,3
18,1,4,3,3.58,4.46,2,2,4
19,1,3,3,3.05,3.86,1,1,3
20,2,3,2,2.66,3.36,1,2,3
21,2,4,4,3.77,4.49,1,2,4
22,1,4,4,3.38,4.17,1,1,4
23,2,3,1,2.44,3.14,2,1,3
24,2,3,3,2.13,2.89,1,2,3
25,2,4,4,3.22,4.08,1,2,4
26,1,3,2,3.32,4.11,2,2,3
27,1,4,1,3.48,4.25,1,1,4
28,1,4,4,4.78,5.53,1,1,4
29,2,4,4,3.34,4.08,1,2,4
30,1,3,1,2.63,3.41,1,1,3
31,1,3,2,2.16,2.93,2,2,3
32,2,4,4,2.54,3.37,1,2,4
33,1,4,4,4.1,5.1,1,1,4
34,2,4,4,3.35,4.17,1,2,4
35,1,4,4,3.12,3.99,1,1,4
36,2,3,4,2.89,3.78,2,1,3
37,1,4,2,3.62,4.37,2,2,4
38,2,3,1,2.31,2.97,2,1,3
39,2,3,3,2.68,3.38,1,2,3
40,2,4,4,2.05,3.04,1,2,4
41,2,3,3,5.39,6.11,1,2,3
42,1,3,1,2.87,3.55,1,1,3
43,2,3,3,3.25,3.98,1,2,3
44,2,4,3,2.3,3,2,1,4
45,1,4,4,2.14,2.94,1,1,4
46,2,4,3,2.05,2.74,2,1,4
47,2,3,3,3.13,3.86,1,2,3
48,1,4,1,2.05,2.71,1,1,4
49,1,4,4,3.14,3.89,1,1,4
50,2,3,3,3.33,4.05,1,2,3
51,2,4,4,2.72,3.53,1,2,4
52,1,3,3,3.45,4.2,1,1,3
53,2,3,2,2.49,3.16,1,2,3
54,2,3,4,3.29,4.01,2,1,3
55,2,4,4,2.32,3.1,1,2,4
56,2,3,3,2.25,2.94,1,2,3
57,2,4,4,3.11,3.89,1,2,4
58,2,4,3,3.02,3.68,2,1,4
59,2,4,1,3.08,3.83,2,1,4
60,2,3,4,3.62,4.89,2,1,3
61,2,4,1,3.74,4.36,2,1,4
62,1,4,2,2.96,3.81,2,2,4
63,2,4,1,2.35,3.11,2,1,4
64,1,4,1,2.22,3.06,1,1,4
65,1,4,4,10.45,11.48,1,1,4
66,1,4,4,3.07,3.93,1,1,4
67,2,3,4,7,7.74,2,1,3
68,2,3,2,2.86,3.66,1,2,3
69,2,3,1,3.77,4.47,2,1,3
70,1,3,4,3.88,4.65,2,2,3
71,2,3,3,2.91,3.85,1,2,3
72,2,4,3,2.36,3.09,2,1,4
73,1,4,3,3.61,4.39,2,2,4
74,2,4,4,2.68,3.51,1,2,4
75,1,3,3,6.84,7.64,1,1,3
76,2,4,1,2.12,2.82,2,1,4
77,2,4,4,3.05,3.83,1,2,4
78,2,3,3,2.48,3.28,1,2,3
79,2,4,4,4.36,5.11,1,2,4
80,2,4,3,2.88,3.63,2,1,4
81,2,4,4,3.31,4.23,1,2,4
82,2,3,4,3.65,4.45,2,1,3
83,1,3,3,3.78,4.73,1,1,3
84,1,3,4,5.6,6.37,2,2,3
85,2,3,4,4.22,5,2,1,3
86,2,3,4,6.35,7.12,2,1,3
87,1,4,3,2.59,3.34,2,2,4
88,2,4,3,2.49,3.17,2,1,4
89,1,4,4,7.07,7.86,1,1,4
90,2,3,3,3.68,4.42,1,2,3
91,1,4,2,4.99,5.85,2,2,4
92,1,3,,,,3,2,3
93,2,3,4,4.71,5.6,2,1,3
94,2,4,1,4.12,4.93,2,1,4
95,2,4,4,2.67,3.45,1,2,4
96,1,4,3,2.9,3.72,2,2,4
97,2,3,4,2.33,3.16,2,1,3
98,1,4,4,3.63,4.43,1,1,4
99,1,4,4,3.45,4.34,1,1,4
100,1,3,1,2.46,3.21,1,1,3
101,1,3,4,2.96,3.79,2,2,3
