trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,4,1,4.71,5.67,1,1,4
2,2,3,4,3.23,4.14,2,1,3
3,2,4,2,6.46,7.27,1,2,4
4,1,3,,,,3,2,3
5,1,4,2,2.29,3.26,2,2,4
6,2,3,4,2.09,2.86,2,1,3
7,1,4,1,2.21,2.76,1,1,4
8,1,4,3,3.72,4.58,2,2,4
9,2,4,2,2.25,2.84,1,2,4
10,2,4,4,4.96,5.65,1,2,4
11,1,3,1,3.37,3.96,1,1,3
12,1,3,2,4.88,5.42,2,2,3
13,1,3,3,3.56,4.27,1,1,3
14,1,3,,,,3,2,3
15,1,4,1,2.97,3.68,1,1,4
16,2,4,4,9.25,10.09,1,2,4
17,1,3,,,,3,2,3
18,2,4,3,2.23,2.99,2,1,4
19,2,3,4,6.76,7.51,2,1,3
20,2,4,2,6.14,6.84,1,2,4
21,1,4,1,3.23,3.89,1,1,4
22,1,3,1,3.97,4.66,1,1,3
23,1,3,2,5.24,6.02,2,2,3
24,1,4,1,2.57,3.22,1,1,4
25,2,3,4,6.73,8.08,2,1,3
26,2,4,1,5.58,6.23,2,1,4
27,2,3,4,3.68,4.99,2,1,3
28,2,4,1,4.87,5.51,2,1,4
29,2,4,3,2.52,3.44,2,1,4
30,2,3,4,2.3,3.17,2,1,3
31,2,3,4,7.69,8.43,2,1,3
32,2,4,2,6.39,7.16,1,2,4
33,1,3,1,4.96,5.63,1,1,3
34,2,4,3,8.1,8.85,2,1,4
35,2,4,1,4.06,4.68,2,1,4
36,1,3,,,,3,2,3
37,2,3,4,3.67,4.51,2,1,3
38,1,3,2,4.35,5.04,2,2,3
39,2,3,3,2.93,3.67,1,2,3
40,1,3,4,5.9,9.09,2,2,3
41,2,3,,2.3,,4,1,3
42,2,4,1,6.46,7.22,2,1,4
43,2,3,3,4.1,4.78,1,2,3
44,2,3,2,7.51,8.35,1,2,3
45,2,4,1,4.39,5.07,2,1,4
46,2,3,3,6.58,7.3,1,2,3
47,2,3,3,3.1,3.83,1,2,3
48,2,4,2,2.57,3.28,1,2,4
49,1,4,4,6.03,6.84,1,1,4
50,2,3,1,3.61,4.21,2,1,3
51,1,3,4,7.4,8.13,2,2,3
52,1,3,2,4.52,5.2,2,2,3
53,2,3,4,2.7,3.41,2,1,3
54,1,4,1,4.45,5.07,1,1,4
55,2,3,3,5.37,6.22,1,2,3
56,1,4,4,3.47,4.62,1,1,4
57,1,4,2,2.55,3.17,2,2,4
58,1,4,,,,3,2,4
59,2,3,3,5.36,6.32,1,2,3
60,2,3,4,5.28,5.91,2,1,3
61,2,4,1,2,2.64,2,1,4
62,1,3,3,2.33,3.3,1,1,3
63,2,3,2,4.2,4.86,1,2,3
64,1,4,1,5.11,5.81,1,1,4
65,1,3,2,5.67,6.33,2,2,3
66,2,4,,,,3,1,4
67,1,3,1,2.84,3.54,1,1,3
68,2,4,2,4.66,5.37,1,2,4
69,2,3,1,5.58,6.21,2,1,3
70,2,4,1,3.61,4.2,2,1,4
71,2,4,2,4.49,5.16,1,2,4
72,1,3,4,3.02,4,2,2,3
73,2,3,,,,3,1,3
74,2,3,,,,3,1,3
75,2,3,1,3.08,3.76,2,1,3
76,1,4,4,2.22,3.01,1,1,4
77,1,4,2,6.81,7.44,2,2,4
78,2,4,2,7,7.64,1,2,4
79,1,3,3,4.71,5.34,1,1,3
80,2,3,,1.69,,4,1,3
81,1,4,2,6.11,6.79,2,2,4
82,1,3,4,4.52,5.22,2,2,3
83,2,3,1,6.31,7.05,2,1,3
84,2,4,2,4.18,4.79,1,2,4
85,1,3,4,3.51,4.32,2,2,3
86,2,3,2,5.16,5.82,1,2,3
87,2,4,1,2.85,3.62,2,1,4
88,1,3,2,3.33,4.01,2,2,3
89,1,4,3,7.56,8.22,2,2,4
90,2,3,1,2.32,2.96,2,1,3
