trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,2,3,4,2.1,3.06,1,2,3
2,2,3,3,2.19,2.98,2,1,3
3,2,3,3,3.33,4.07,2,1,3
4,1,3,4,3.82,4.48,1,1,3
5,1,3,3,5.36,6.02,2,2,3
6,2,4,4,2.9,3.52,1,2,4
7,2,3,1,2.27,3.26,1,2,3
8,1,4,4,2.37,3.6,1,1,4
9,2,4,4,4.01,4.75,1,2,4
10,1,3,4,3.35,4.04,1,1,3
11,1,3,3,2.49,3.16,2,2,3
12,1,3,4,1.99,2.65,1,1,3
13,1,3,3,4.05,4.66,2,2,3
14,2,4,4,2.05,3.04,1,2,4
15,1,4,4,2.33,3.04,1,1,4
16,1,3,4,3.08,3.77,1,1,3
17,1,3,4,2.96,3.81,1,1,3
18,2,3,4,3.63,4.29,1,2,3
19,2,4,4,2.31,3.05,1,2,4
20,1,4,4,3.17,3.8,1,1,4
21,2,3,4,3.61,4.25,1,2,3
22,2,4,4,2.36,3,1,2,4
23,1,4,4,2.82,3.54,1,1,4
24,2,3,,,,3,1,3
25,1,4,4,3.81,4.65,1,1,4
26,2,3,3,2.63,3.29,2,1,3
27,1,3,2,2.36,3.59,2,2,3
28,1,3,4,3.74,4.4,1,1,3
29,1,4,4,2.78,3.39,1,1,4
30,1,4,4,2.39,3.05,1,1,4
31,1,4,4,2.89,3.57,1,1,4
32,2,3,3,3.96,4.58,2,1,3
33,1,3,4,2.94,3.75,1,1,3
34,1,3,4,2.43,3.1,1,1,3
35,1,4,1,2.16,2.85,1,1,4
36,1,4,4,2.74,3.39,1,1,4
37,2,3,4,3.37,4.07,1,2,3
38,2,4,4,8.3,8.92,1,2,4
39,2,4,4,3.45,4.13,1,2,4
40,2,3,4,2.34,3.18,1,2,3
41,2,4,,2.28,,4,1,4
42,1,3,4,3.2,3.87,1,1,3
43,2,4,4,2.22,2.84,1,2,4
44,2,4,4,3.06,3.69,1,2,4
45,1,3,4,4.11,4.82,1,1,3
46,1,4,4,3.29,3.99,1,1,4
47,1,3,4,2.02,2.69,1,1,3
48,1,3,4,3.08,3.75,1,1,3
49,1,3,4,2.44,3.12,1,1,3
50,2,3,4,2.46,3.14,1,2,3
51,1,3,4,2.29,2.95,1,1,3
52,1,3,1,3.49,4.11,1,1,3
53,2,3,4,2.9,3.52,1,2,3
54,1,4,4,2.52,3.18,1,1,4
55,1,3,4,2.51,3.22,1,1,3
56,2,3,3,3.85,4.48,2,1,3
57,1,3,4,2.81,3.45,1,1,3
58,2,4,4,3.08,3.68,1,2,4
59,2,4,4,3.98,4.68,1,2,4
60,2,4,1,7.39,8.05,1,2,4
61,2,4,4,3.67,4.36,1,2,4
62,1,3,4,3.44,4.04,1,1,3
63,1,3,4,3.31,3.97,1,1,3
64,2,3,4,3.78,4.4,1,2,3
65,1,4,3,2.52,3.19,2,2,4
66,2,3,4,2.89,3.66,1,2,3
67,1,3,3,2.1,2.68,2,2,3
68,1,3,4,3.01,3.63,1,1,3
69,2,4,4,2.93,3.57,1,2,4
70,1,3,4,2.64,3.26,1,1,3
71,2,4,3,3.24,3.81,2,1,4
72,2,4,1,2.97,3.61,1,2,4
73,2,3,4,2.66,3.31,1,2,3
74,2,4,4,4.25,4.93,1,2,4
75,2,4,1,2.03,2.64,1,2,4
76,1,4,1,4.51,5.21,1,1,4
77,1,4,4,4.13,4.79,1,1,4
78,1,3,3,2.87,3.56,2,2,3
79,2,3,4,3.82,4.49,1,2,3
80,1,4,2,3.21,4.16,2,2,4
81,1,4,4,3.19,3.88,1,1,4
82,1,3,3,2.64,3.36,2,2,3
