trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,2,3,4,2.49,3.44,2,1,3
2,1,3,3,2.71,3.66,1,1,3
3,1,4,4,2.83,3.53,1,1,4
4,2,4,4,4.06,4.64,1,2,4
5,1,3,3,4.23,4.75,1,1,3
6,2,3,4,2.34,2.96,2,1,3
7,2,3,4,2.98,3.61,2,1,3
8,1,3,4,3.58,4.2,2,2,3
9,2,4,3,3.99,4.57,2,1,4
10,1,3,3,2.96,3.55,1,1,3
11,2,3,1,2.39,3.07,2,1,3
12,2,3,4,2.42,3.18,2,1,3
13,2,4,1,3.88,4.44,2,1,4
14,2,4,3,2.77,3.4,2,1,4
15,1,4,4,2.16,2.95,1,1,4
16,1,4,4,2.12,2.68,1,1,4
17,1,4,3,3.18,3.8,2,2,4
18,1,4,,,,3,2,4
19,1,3,1,2.6,3.15,1,1,3
20,1,3,3,2.42,3.03,1,1,3
21,1,4,4,8.38,9.04,1,1,4
22,2,4,3,5.5,6.09,2,1,4
23,1,4,4,3.17,3.81,1,1,4
24,2,3,2,6.89,7.82,1,2,3
25,1,4,4,2.15,2.82,1,1,4
26,2,3,3,3.23,3.85,1,2,3
27,2,4,4,3.04,3.65,1,2,4
28,1,4,3,3.14,3.73,2,2,4
29,2,4,4,3.17,3.84,1,2,4
30,1,3,3,2.62,3.12,1,1,3
31,2,3,4,4.92,5.64,2,1,3
32,1,3,1,4.19,4.78,1,1,3
33,2,4,3,3.95,4.52,2,1,4
34,1,3,3,3.88,4.38,1,1,3
35,1,3,3,3.18,3.73,1,1,3
36,1,3,4,2.37,3.01,2,2,3
37,2,3,3,2.55,3.14,1,2,3
38,2,4,4,2.53,3.15,1,2,4
39,1,4,2,3.96,4.61,2,2,4
40,2,4,4,4.97,5.61,1,2,4
41,1,3,3,3.09,3.69,1,1,3
42,1,3,4,2.64,3.22,2,2,3
43,2,4,1,4.67,5.39,2,1,4
44,2,4,3,2.99,3.62,2,1,4
45,1,3,4,3.58,4.2,2,2,3
46,2,3,2,3.92,4.74,1,2,3
47,1,3,4,3.07,3.65,2,2,3
48,1,4,4,8.06,8.69,1,1,4
49,2,4,2,5.78,6.8,1,2,4
50,1,3,3,3.24,3.91,1,1,3
51,1,3,3,3.68,4.16,1,1,3
52,2,4,4,4.88,5.52,1,2,4
53,1,4,3,2.68,3.29,2,2,4
54,2,4,4,6.32,6.9,1,2,4
55,1,3,4,2.51,3.06,2,2,3
56,1,4,3,3.39,4.04,2,2,4
57,1,3,4,2.68,3.29,2,2,3
58,1,4,2,2.72,3.41,2,2,4
59,2,3,4,2.04,2.66,2,1,3
60,2,4,3,2.58,3.16,2,1,4
61,1,4,3,3.79,4.36,2,2,4
62,2,4,4,2.28,2.92,1,2,4
63,2,3,3,2.96,3.65,1,2,3
64,1,3,3,4.47,5.41,1,1,3
65,1,4,4,2.29,2.87,1,1,4
66,1,4,4,9.67,10.26,1,1,4
67,2,4,4,2.4,3.01,1,2,4
68,1,3,2,3.05,3.71,2,2,3
69,2,3,3,4.19,4.76,1,2,3
70,1,3,3,3.64,4.19,1,1,3
71,1,4,4,2.5,3.29,1,1,4
72,2,3,3,2.66,3.31,1,2,3
73,1,4,4,3.01,3.58,1,1,4
74,2,3,3,8.66,9.24,1,2,3
75,2,3,3,5.03,5.61,1,2,3
76,2,3,4,2.56,3.22,2,1,3
77,1,3,2,2.99,3.83,2,2,3
78,1,3,3,3.03,3.61,1,1,3
79,1,4,4,2.64,3.27,1,1,4
80,1,3,4,2.8,3.4,2,2,3
81,2,3,3,3.14,3.74,1,2,3
82,2,4,4,3.76,4.3,1,2,4
83,1,4,3,4.39,4.96,2,2,4
84,2,3,3,3.16,3.74,1,2,3
85,1,4,1,2.75,3.53,1,1,4
86,2,3,2,4.2,4.92,1,2,3
87,2,4,2,5.49,6.32,1,2,4
88,2,3,4,3.13,3.87,2,1,3
89,1,3,3,3.8,4.5,1,1,3
90,2,4,3,2.13,2.65,2,1,4
91,1,4,1,4.18,4.89,1,1,4
92,1,3,4,2.95,3.55,2,2,3
93,1,4,3,3.67,4.25,2,2,4
94,2,3,3,3.23,3.76,1,2,3
95,1,4,4,4.91,5.54,1,1,4
96,2,4,4,3.93,4.95,1,2,4
97,1,3,2,2.17,2.87,2,2,3
98,1,4,4,2.39,2.98,1,1,4
99,1,3,4,2.64,3.28,2,2,3
100,2,4,4,3.66,4.27,1,2,4
101,1,3,3,3.41,4.02,1,1,3
