trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,4,4,2.88,6.22,1,1,4
2,1,3,3,5.76,6.68,1,1,3
3,2,3,4,2.35,3.31,2,1,3
4,2,3,1,2.3,3.22,2,1,3
5,1,3,3,2.86,3.55,1,1,3
6,2,3,3,3.36,3.96,1,2,3
7,2,3,2,5.25,6.05,1,2,3
8,1,3,3,4.86,5.49,1,1,3
9,1,4,1,2.66,3.49,1,1,4
10,2,3,1,3.78,4.92,2,1,3
11,1,4,1,3.49,4.11,1,1,4
12,2,3,3,5.57,6.16,1,2,3
13,2,3,3,3.85,4.45,1,2,3
14,2,3,3,2.13,2.69,1,2,3
15,2,4,4,3.08,3.96,1,2,4
16,2,4,2,2.36,3.02,1,2,4
17,1,4,2,2.62,3.31,2,2,4
18,2,3,1,4.72,5.34,2,1,3
19,1,3,3,7.99,8.72,1,1,3
20,1,4,4,2.33,3.38,1,1,4
21,2,4,2,10.23,12.72,1,2,4
22,2,3,3,2.65,3.44,1,2,3
23,1,3,3,8.78,9.52,1,1,3
24,1,3,2,3.28,4.03,2,2,3
25,1,4,,,,3,2,4
26,1,3,3,3.52,4.32,1,1,3
27,2,3,3,9.65,10.51,1,2,3
28,2,3,3,7.13,8.89,1,2,3
29,2,4,4,4.4,5.19,1,2,4
30,1,4,2,5.65,6.55,2,2,4
31,1,4,1,10.15,11.29,1,1,4
32,2,3,3,2.35,3.46,1,2,3
33,2,4,4,3.53,4.42,1,2,4
34,1,3,3,2.84,4.11,1,1,3
35,1,3,2,4.28,5.5,2,2,3
36,2,3,,,,3,1,3
37,2,3,,,,3,1,3
38,1,4,4,10.4,11.41,1,1,4
39,2,4,1,8.13,9.32,2,1,4
40,1,4,,,,3,2,4
41,1,3,3,3.89,6.5,1,1,3
42,2,3,2,6.01,7.63,1,2,3
43,2,3,,,,3,1,3
44,2,4,4,4.52,10.52,1,2,4
45,2,3,3,2.74,8.22,1,2,3
46,2,4,,,,3,1,4
47,2,4,,,,3,1,4
48,1,3,3,10.43,11.8,1,1,3
49,2,3,,,,3,1,3
50,1,3,3,5.77,6.51,1,1,3
