trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,4,1,3.92,5.24,1,1,4
2,1,3,3,3.07,3.92,1,1,3
3,2,4,4,2.72,3.76,1,2,4
4,2,4,1,5.91,6.65,2,1,4
5,2,3,2,2.72,3.39,1,2,3
6,1,4,1,2.49,3.08,1,1,4
7,1,3,3,3,3.8,1,1,3
8,2,3,3,3.24,8.33,1,2,3
9,2,3,2,3.34,4.01,1,2,3
10,1,4,4,2.76,4.43,1,1,4
11,1,4,1,2.77,3.54,1,1,4
12,2,4,4,2.52,4.05,1,2,4
13,2,4,2,8.67,9.22,1,2,4
14,1,4,4,3.17,4.01,1,1,4
15,2,4,3,8.17,9.04,2,1,4
16,1,4,2,2.56,3.14,2,2,4
17,1,3,1,4.85,5.68,1,1,3
18,1,3,1,5.66,6.41,1,1,3
19,1,3,1,4.19,5.12,1,1,3
20,1,3,3,2.24,2.85,1,1,3
21,2,3,2,3.09,4.08,1,2,3
22,2,4,4,5.42,7.34,1,2,4
23,2,4,2,4.53,5.27,1,2,4
24,1,4,,2.87,,4,2,4
25,1,4,1,3.5,4.23,1,1,4
26,1,3,1,2.6,3.27,1,1,3
27,1,4,,2.91,,4,2,4
28,2,3,3,2.68,3.42,1,2,3
29,2,3,4,2.72,4.17,2,1,3
30,2,4,2,2.53,3.33,1,2,4
31,2,3,2,4.13,4.93,1,2,3
32,1,3,3,3.57,4.2,1,1,3
33,1,3,1,5.84,6.72,1,1,3
34,2,4,2,2.78,3.57,1,2,4
35,2,4,2,2.45,3.23,1,2,4
36,2,4,2,4.57,5.44,1,2,4
37,1,4,1,2.71,3.54,1,1,4
38,2,4,2,3.21,3.91,1,2,4
39,1,4,1,14.62,15.59,1,1,4
40,2,3,2,3.21,4.16,1,2,3
41,2,3,1,3.79,4.63,2,1,3
42,2,4,,4,,4,1,4
43,1,3,1,3.13,3.97,1,1,3
44,2,4,2,3.66,7.33,1,2,4
45,1,4,3,3.81,4.68,2,2,4
46,2,4,2,9.18,10.9,1,2,4
47,2,3,,5.2,,4,1,3
48,1,4,,9,,4,2,4
49,2,3,,,,3,1,3
50,1,3,,7.11,,4,2,3
51,2,3,4,3.51,4.59,2,1,3
52,1,4,1,4.29,5.03,1,1,4
53,1,3,1,3.26,4.25,1,1,3
54,2,4,2,3.19,4.05,1,2,4
55,1,4,1,3.28,3.95,1,1,4
56,1,3,3,2.66,3.56,1,1,3
57,2,3,,,,3,1,3
58,1,3,3,2.65,3.12,1,1,3
59,2,3,,,,3,1,3
60,1,4,2,7.66,8.52,2,2,4
61,2,4,2,7.07,7.81,1,2,4
62,2,3,2,2.84,3.5,1,2,3
63,2,3,,,,3,1,3
64,1,3,1,3.4,4.28,1,1,3
65,1,3,,,,3,2,3
66,1,3,3,3.66,4.55,1,1,3
67,2,4,2,2.81,4.06,1,2,4
68,1,4,1,8.28,9.26,1,1,4
69,1,4,,,,3,2,4
70,1,3,,,,3,2,3
