trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,4,4,3.38,5.07,1,1,4
2,2,3,1,2.34,3.09,1,2,3
3,1,4,2,2.84,4.35,2,2,4
4,1,3,4,3.67,4.37,1,1,3
5,1,4,3,2.5,3.72,2,2,4
6,2,3,1,2.74,3.4,1,2,3
7,2,4,3,3.45,4.28,2,1,4
8,1,4,,3.4,,4,2,4
9,1,4,3,2.58,3.13,2,2,4
10,1,3,4,3.15,5.36,1,1,3
11,2,4,3,3.91,4.72,2,1,4
12,2,3,3,2.5,5.15,2,1,3
13,2,3,2,3.82,4.8,2,1,3
14,1,3,4,2.83,7.87,1,1,3
15,1,3,3,2.91,3.77,2,2,3
16,2,4,2,3.78,4.63,2,1,4
17,1,4,1,3.17,3.85,1,1,4
18,2,3,4,2.97,3.75,1,2,3
19,1,3,3,5.11,6.02,2,2,3
20,1,3,1,3.05,3.74,1,1,3
21,2,3,4,3.63,5.05,1,2,3
22,2,4,3,2.28,3.11,2,1,4
23,2,3,1,3.11,3.72,1,2,3
24,2,4,4,2.85,3.77,1,2,4
25,2,3,1,3.23,4.68,1,2,3
26,1,3,1,3.62,4.25,1,1,3
27,1,3,4,2.27,3.76,1,1,3
28,2,4,,,,3,1,4
29,2,4,4,2.9,4.97,1,2,4
30,1,4,1,2.31,3.36,1,1,4
31,1,4,1,3.13,4.06,1,1,4
32,2,3,4,2.97,6.81,1,2,3
33,1,4,4,4.01,5.8,1,1,4
34,2,4,,,,3,1,4
35,2,3,2,4.46,5.24,2,1,3
36,2,4,4,5.14,10.42,1,2,4
37,1,4,4,8.55,9.94,1,1,4
38,2,3,2,3.08,3.7,2,1,3
39,2,4,3,3.33,4.34,2,1,4
40,1,3,1,6.52,7.12,1,1,3
41,2,4,4,2.46,3.37,1,2,4
42,1,3,1,3.31,4.29,1,1,3
43,1,4,4,3.43,4.92,1,1,4
44,1,4,,,,3,2,4
45,1,4,4,2.76,3.58,1,1,4
46,1,4,4,6.33,7.33,1,1,4
47,1,4,1,2.83,3.7,1,1,4
48,1,4,4,4.96,5.53,1,1,4
49,2,3,4,3.45,4.07,1,2,3
50,2,4,4,5.1,6.21,1,2,4
51,1,3,1,3.75,4.59,1,1,3
52,2,4,4,4.08,8.44,1,2,4
53,1,3,4,2.28,2.85,1,1,3
54,2,3,4,9.54,12.3,1,2,3
55,2,3,4,3.74,5.46,1,2,3
56,1,3,,5.67,,4,2,3
57,1,3,1,2.56,3.25,1,1,3
58,2,4,4,2.98,6.7,1,2,4
59,2,4,1,4.15,4.95,1,2,4
60,1,3,4,8.4,10.4,1,1,3
61,1,3,1,3.41,4.42,1,1,3
62,1,4,2,3.71,4.4,2,2,4
63,2,3,1,4.65,5.46,1,2,3
64,1,4,4,2.5,3.41,1,1,4
65,1,3,4,10.29,11.77,1,1,3
