stage,day in stage,trial,A1o,A1c,A2o,A2c,A3o,A3c,A4o,A4c,action,reward,reward_type
1,1,1,1,1,0,0,1,1,0,0,4,0.0,2
1,1,2,1,1,0,0,0,0,1,1,0,,0
1,1,3,1,0,0,1,1,0,0,1,2,0.0,1
1,1,4,1,0,0,1,0,1,1,0,3,0.0,2
1,1,5,1,1,0,0,1,1,0,0,2,0.0,1
1,1,6,0,0,1,1,1,1,0,0,2,,1
1,1,7,0,1,1,0,0,1,1,0,3,0.0,2
1,1,8,1,0,0,1,1,0,0,1,3,1.0,2
1,1,9,1,1,0,0,1,1,0,0,4,0.0,2
1,1,10,1,1,0,0,0,0,1,1,3,0.0,2
1,1,11,1,1,0,0,1,1,0,0,3,1.0,2
1,1,12,1,1,0,0,0,0,1,1,3,0.0,2
1,1,13,1,1,0,0,0,0,1,1,3,0.0,2
1,1,14,0,1,1,0,1,0,0,1,3,1.0,2
1,1,15,1,1,0,0,1,1,0,0,3,1.0,2
1,1,16,1,1,0,0,1,1,0,0,2,,1
1,1,17,1,1,0,0,0,0,1,1,2,,1
1,1,18,0,0,1,1,1,1,0,0,3,1.0,2
1,1,19,1,1,0,0,1,1,0,0,3,1.0,2
1,1,20,1,1,0,0,0,0,1,1,2,,1
1,1,21,1,1,0,0,1,1,0,0,2,,1
1,1,22,0,0,1,1,1,1,0,0,4,0.0,2
1,1,23,1,1,0,0,1,1,0,0,3,1.0,2
1,1,24,1,0,0,1,1,0,0,1,3,1.0,2
1,1,25,1,1,0,0,1,1,0,0,3,1.0,2
1,1,26,1,0,0,1,1,0,0,1,2,0.0,1
1,1,27,0,1,1,0,1,0,0,1,3,1.0,2
1,1,28,1,1,0,0,1,1,0,0,3,1.0,2
1,1,29,1,0,0,1,1,0,0,1,3,1.0,2
1,1,30,1,0,0,1,0,1,1,0,3,0.0,2
1,1,31,1,0,0,1,0,1,1,0,3,0.0,2
1,1,32,1,1,0,0,0,0,1,1,3,0.0,2
1,1,33,0,0,1,1,0,0,1,1,3,0.0,2
1,1,34,0,1,1,0,1,0,0,1,3,1.0,2
1,1,35,1,0,0,1,0,1,1,0,3,0.0,2
1,1,36,0,1,1,0,0,1,1,0,3,0.0,2
1,1,37,1,0,0,1,1,0,0,1,3,1.0,2
1,1,38,0,1,1,0,0,1,1,0,3,0.0,2
1,1,39,1,1,0,0,0,0,1,1,3,0.0,2
1,1,40,0,1,1,0,1,0,0,1,3,1.0,2
1,1,41,1,0,0,1,1,0,0,1,3,1.0,2
1,2,1,0,1,1,0,1,0,0,1,2,1.0,1
1,2,2,0,1,1,0,1,0,0,1,4,0.0,2
1,2,3,0,0,1,1,0,0,1,1,3,0.0,2
1,2,4,0,1,1,0,0,1,1,0,4,1.0,2
1,2,5,1,1,0,0,1,1,0,0,3,1.0,2
1,2,6,0,0,1,1,0,0,1,1,3,0.0,2
1,2,7,1,0,0,1,0,1,1,0,1,1.0,1
1,2,8,1,0,0,1,1,0,0,1,3,1.0,2
1,2,9,0,1,1,0,1,0,0,1,3,1.0,2
1,2,10,0,1,1,0,1,0,0,1,3,1.0,2
1,2,11,0,0,1,1,0,0,1,1,2,1.0,1
1,2,12,1,0,0,1,0,1,1,0,1,1.0,1
1,2,13,1,1,0,0,0,0,1,1,3,0.0,2
1,2,14,0,0,1,1,0,0,1,1,3,0.0,2
1,2,15,0,1,1,0,1,0,0,1,3,1.0,2
1,2,16,0,0,1,1,0,0,1,1,4,1.0,2
1,2,17,0,1,1,0,1,0,0,1,3,1.0,2
1,2,18,0,1,1,0,1,0,0,1,3,1.0,2
1,2,19,0,0,1,1,1,1,0,0,3,1.0,2
1,2,20,0,0,1,1,0,0,1,1,3,0.0,2
1,2,21,0,0,1,1,1,1,0,0,3,1.0,2
1,2,22,0,1,1,0,0,1,1,0,4,1.0,2
1,2,23,1,0,0,1,0,1,1,0,4,1.0,2
1,2,24,0,1,1,0,0,1,1,0,3,0.0,2
1,2,25,1,0,0,1,0,1,1,0,3,0.0,2
1,2,26,0,1,1,0,1,0,0,1,2,1.0,1
