,rat,brain,network,memory_size,forgetting,motivated_reward,non_motivated_reward,likelihood,trials,param_number
0,1,DQN,FullyConnectedNetwork,10000,0.05,1,0,4951.420615807176,1444,196
1,1,BrainDQN,FullyConnectedNetwork,10000,0.05,1,0,5616.178510516882,1444,196
2,1,BrainDQN,FullyConnectedNetwork,10000,0.05,1,0,4761.850031666458,1444,196
3,1,BrainDQN,FullyConnectedNetwork2Layers,10000,0.05,1,0,3615.0005058422685,1444,216
4,1,BrainDQN,FullyConnectedNetwork2Layers,10000,0.05,1,0,3786.7826676555705,1444,216
5,1,BrainDQN,EfficientNetwork,10000,0.05,1,0,2840.114441420883,1444,22
6,1,BrainDQN,EfficientNetwork,10000,0.05,1,0,3488.628739727661,1444,22
7,1,BrainDQNFixedDoorAttention,EfficientNetwork,10000,0.05,1,0,3468.8770607858896,1444,22
8,1,BrainDQNFixedDoorAttention,EfficientNetwork,10000,0.05,1,0,3664.5582558512688,1444,22
9,1,MotivationDependantBrainDQN,SeparateMotivationAreasNetwork,10000,0.05,1,0,2392.820149630308,1444,44
10,1,MotivationDependantBrainDQN,SeparateMotivationAreasNetwork,10000,0.05,1,0,3186.2542174868286,1444,44
11,1,MotivationDependantBrainDQNLateOutcomeEvaluation,SeparateMotivationAreasNetwork,10000,0.05,1,0,3138.3641148656607,1444,44
12,1,MotivationDependantBrainDQNLateOutcomeEvaluation,SeparateMotivationAreasNetwork,10000,0.05,1,0,2319.6420179009438,1444,44
13,1,DQN,FullyConnectedNetwork,10000,0.05,1,0,4859.560162395239,1444,196
14,1,BrainDQN,FullyConnectedNetwork,10000,0.05,1,0,4984.393356375396,1444,196
15,1,BrainDQN,FullyConnectedNetwork,10000,0.05,1,0,5241.22728407383,1444,196
16,1,BrainDQN,FullyConnectedNetwork2Layers,10000,0.05,1,0,4067.5029303474003,1444,216
17,1,BrainDQN,FullyConnectedNetwork2Layers,10000,0.05,1,0,3803.0657859917264,1444,216
18,1,BrainDQN,EfficientNetwork,10000,0.05,1,0,2874.1754744052887,1444,22
19,1,BrainDQN,EfficientNetwork,10000,0.05,1,0,2724.750143021345,1444,22
20,1,BrainDQNFixedDoorAttention,EfficientNetwork,10000,0.05,1,0,3320.5292099416256,1444,22
21,1,BrainDQNFixedDoorAttention,EfficientNetwork,10000,0.05,1,0,3595.033532515168,1444,22
22,1,MotivationDependantBrainDQN,SeparateMotivationAreasNetwork,10000,0.05,1,0,2993.029201090336,1444,44
23,1,MotivationDependantBrainDQN,SeparateMotivationAreasNetwork,10000,0.05,1,0,2591.7194131612778,1444,44
24,1,MotivationDependantBrainDQNLateOutcomeEvaluation,SeparateMotivationAreasNetwork,10000,0.05,1,0,2263.519939303398,1444,44
25,1,MotivationDependantBrainDQNLateOutcomeEvaluation,SeparateMotivationAreasNetwork,10000,0.05,1,0,3031.796973645687,1444,44
26,1,DQN,FullyConnectedNetwork,10000,0.05,1,0,4692.465328648686,1444,196
27,1,BrainDQN,FullyConnectedNetwork,10000,0.05,1,0,5685.015025467612,1444,196
28,1,BrainDQN,FullyConnectedNetwork,10000,0.05,1,0,5229.264824435115,1444,196
29,1,BrainDQN,FullyConnectedNetwork2Layers,10000,0.05,1,0,4155.928563838359,1444,216
30,1,BrainDQN,FullyConnectedNetwork2Layers,10000,0.05,1,0,3410.032551239645,1444,216
31,1,BrainDQN,EfficientNetwork,10000,0.05,1,0,2615.85747936368,1444,22
32,1,BrainDQN,EfficientNetwork,10000,0.05,1,0,2914.4691044837236,1444,22
33,1,BrainDQNFixedDoorAttention,EfficientNetwork,10000,0.05,1,0,3723.286133632064,1444,22
34,1,BrainDQNFixedDoorAttention,EfficientNetwork,10000,0.05,1,0,3553.1895185410976,1444,22
35,1,MotivationDependantBrainDQN,SeparateMotivationAreasNetwork,10000,0.05,1,0,2333.586619079113,1444,44
36,1,MotivationDependantBrainDQN,SeparateMotivationAreasNetwork,10000,0.05,1,0,2481.517604112625,1444,44
37,1,MotivationDependantBrainDQNLateOutcomeEvaluation,SeparateMotivationAreasNetwork,10000,0.05,1,0,2946.6237746477127,1444,44
38,1,MotivationDependantBrainDQNLateOutcomeEvaluation,SeparateMotivationAreasNetwork,10000,0.05,1,0,2535.0894190371037,1444,44
39,2,DQN,FullyConnectedNetwork,10000,0.05,1,0,5375.096549838781,1547,196
40,2,BrainDQN,FullyConnectedNetwork,10000,0.05,1,0,5613.371190696955,1547,196
41,2,BrainDQN,FullyConnectedNetwork,10000,0.05,1,0,5593.604249835014,1547,196
42,2,BrainDQN,FullyConnectedNetwork2Layers,10000,0.05,1,0,3980.222345147282,1547,216
43,2,BrainDQN,FullyConnectedNetwork2Layers,10000,0.05,1,0,4039.3247257610783,1547,216
44,2,BrainDQN,EfficientNetwork,10000,0.05,1,0,3395.100855184719,1547,22
45,2,BrainDQN,EfficientNetwork,10000,0.05,1,0,3097.3665495067835,1547,22
46,2,BrainDQNFixedDoorAttention,EfficientNetwork,10000,0.05,1,0,4670.102123111486,1547,22
47,2,BrainDQNFixedDoorAttention,EfficientNetwork,10000,0.05,1,0,4156.964966356754,1547,22
48,2,MotivationDependantBrainDQN,SeparateMotivationAreasNetwork,10000,0.05,1,0,4437.288138284115,1547,44
49,2,MotivationDependantBrainDQN,SeparateMotivationAreasNetwork,10000,0.05,1,0,2686.237176835537,1547,44
50,2,MotivationDependantBrainDQNLateOutcomeEvaluation,SeparateMotivationAreasNetwork,10000,0.05,1,0,3520.4974406659603,1547,44
51,2,MotivationDependantBrainDQNLateOutcomeEvaluation,SeparateMotivationAreasNetwork,10000,0.05,1,0,2847.7863961160183,1547,44
52,2,DQN,FullyConnectedNetwork,10000,0.05,1,0,5626.404287740588,1547,196
53,2,BrainDQN,FullyConnectedNetwork,10000,0.05,1,0,4786.939052924514,1547,196
54,2,BrainDQN,FullyConnectedNetwork,10000,0.05,1,0,5200.868732661009,1547,196
55,2,BrainDQN,FullyConnectedNetwork2Layers,10000,0.05,1,0,4010.4713450269774,1547,216
56,2,BrainDQN,FullyConnectedNetwork2Layers,10000,0.05,1,0,4134.4930797042325,1547,216
57,2,BrainDQN,EfficientNetwork,10000,0.05,1,0,3283.064244687557,1547,22
58,2,BrainDQN,EfficientNetwork,10000,0.05,1,0,3392.373320302926,1547,22
59,2,BrainDQNFixedDoorAttention,EfficientNetwork,10000,0.05,1,0,4224.9994981735945,1547,22
60,2,BrainDQNFixedDoorAttention,EfficientNetwork,10000,0.05,1,0,4370.956303447485,1547,22
61,2,MotivationDependantBrainDQN,SeparateMotivationAreasNetwork,10000,0.05,1,0,4150.301172083244,1547,44
62,2,MotivationDependantBrainDQN,SeparateMotivationAreasNetwork,10000,0.05,1,0,3014.405933380127,1547,44
63,2,MotivationDependantBrainDQNLateOutcomeEvaluation,SeparateMotivationAreasNetwork,10000,0.05,1,0,2897.0046770572662,1547,44
64,2,MotivationDependantBrainDQNLateOutcomeEvaluation,SeparateMotivationAreasNetwork,10000,0.05,1,0,2857.5035916268826,1547,44
65,2,DQN,FullyConnectedNetwork,10000,0.05,1,0,5118.951563894749,1547,196
66,2,BrainDQN,FullyConnectedNetwork,10000,0.05,1,0,5601.4176687300205,1547,196
67,2,BrainDQN,FullyConnectedNetwork,10000,0.05,1,0,4878.411162555218,1547,196
68,2,BrainDQN,FullyConnectedNetwork2Layers,10000,0.05,1,0,4000.5360340243205,1547,216
69,2,BrainDQN,FullyConnectedNetwork2Layers,10000,0.05,1,0,4341.809342883993,1547,216
70,2,BrainDQN,EfficientNetwork,10000,0.05,1,0,4043.102331224829,1547,22
